Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,5938151.73621289,1.6840253937923446E-7,0.3958158986027591,1055.0,5938142.73621289,6.600046823224342E14
1,5938151.73621289,1.6840253937923446E-7,0.15902297198396673,1055.0,5938142.73621289,2.2000873928058462E14
2,5938151.73621289,1.6840253937923446E-7,0.06551230130726261,1055.0,5938142.73621289,1.8000515952282456E14
3,5938151.73621289,1.6840253937923446E-7,0.0462776340702136,1055.0,5938142.73621289,2.5333725337353222E14
4,5938151.73621289,1.6840253937923446E-7,0.030527492118842058,1055.0,5938142.73621289,2.4000243842099138E14
5,5937981.160717638,1.6840737693949966E-7,0.0288455656045852,13899.0,5937969.160717638,2.666745617360232E14
6,3728145.5594977117,2.6822979838398E-7,0.03539326966176364,13135.0,3728133.5594977117,1.0000970457064408E14
7,3728145.5594977117,2.6822979838398E-7,0.03313706796018558,13135.0,3728133.5594977117,2.3333584615033316E14
8,5580507.642507358,1.7919513507834898E-7,0.021327135048463636,228.0,5580503.642507358,3.466683637124701E14
9,5570291.808693609,1.7952377627964017E-7,0.018914792724981182,13250.0,5570281.808693609,2.866689592486892E14
10,5457240.4392073965,1.832427630589199E-7,0.017134061164837323,145.0,5457223.4392073965,1.7333684054307953E14
11,2898247.745588986,3.450359468013083E-7,0.028546416490459182,28538.0,2898242.745588986,1.8667587900772528E14
12,5248721.509376039,1.9052255062325227E-7,0.014564471638742978,86.0,5248714.509376039,2.6000631511091503E14
13,5248721.509376039,1.9052255062325227E-7,0.016528970474242767,86.0,5248714.509376039,3.2676412575931044E14
14,5248721.509376039,1.9052255062325227E-7,0.012888992203437514,86.0,5248714.509376039,2.200896524505232E14
15,5123619.686741176,1.9517447936530198E-7,0.01268762424555125,46.0,5123607.686741176,2.2000108405907462E14
16,3667383.082752914,2.726739216388135E-7,0.015383717823807317,117.0,3667367.082752914,1.4000531532842702E14
17,3667383.082752914,2.726739216388135E-7,0.014056811660733673,117.0,3667367.082752914,8.666812283955214E13
18,3667383.082752914,2.726739216388135E-7,0.015541373618675301,117.0,3667367.082752914,1.070284029587465E14
