Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,5594488.54419534,1.7874731771329655E-7,0.2589926813734194,60.0,5594413.54419534,5.333864213766178E14
1,5594477.576240201,1.7874766814677042E-7,0.09315892032099099,45.0,5594413.576240201,2.33388546056477E14
2,5594477.576240201,1.7874766814677042E-7,0.058014381739523405,45.0,5594413.576240201,2.000653957519205E14
3,5594477.576240201,1.7874766814677042E-7,0.030372006302125647,45.0,5594413.576240201,1.4004180819060302E14
4,5382240.5958130825,1.8579619331430853E-7,0.02342641936164007,25004.0,5382235.5958130825,2.2000211452272512E14
5,2724252.479288285,3.6707303766067E-7,0.03900441126009018,880.0,2724231.479288285,2.6001820558062756E14
6,2724252.479288285,3.6707303766067E-7,0.03239988586539929,880.0,2724231.479288285,2.8711528324636044E14
7,2724252.479288285,3.6707303766067E-7,0.018233835043592727,880.0,2724231.479288285,1.6000383550272856E14
8,2724252.479288285,3.6707303766067E-7,0.016665948756420267,880.0,2724231.479288285,1.6684222458256012E14
9,2708855.6027495507,3.691594449794712E-7,0.015704442936978327,1571.0,2708763.6027495507,2.001313610430967E14
10,2705474.5958324648,3.696207799990536E-7,0.010572386167785573,707.0,2705437.5958324648,8.666797245999689E13
11,2705474.5958324648,3.696207799990536E-7,0.009891568084774842,707.0,2705437.5958324648,1.1333554762892786E14
12,2705474.389503903,3.6962080818756503E-7,0.00863300966046765,733.0,2705438.389503903,1.333344827569364E14
13,2703888.8121283185,3.698375560699598E-7,0.008834097914500716,817.0,2703874.8121283185,1.4666732075689722E14
14,2703888.8121283185,3.698375560699598E-7,0.009596680968201831,817.0,2703874.8121283185,1.800013117517039E14
15,2703884.8121283185,3.6983810319004067E-7,0.01057750674758378,817.0,2703874.8121283185,1.000019885948342E14
16,2703884.8121283185,3.6983810319004067E-7,0.00898159995613813,817.0,2703874.8121283185,1.4666721080142234E14
17,2703855.6135668717,3.6984209701890246E-7,0.009210887347420461,888.0,2703836.6135668717,9.33342384810558E13
18,2703342.4570903433,3.6991230151581177E-7,0.008664683406391354,839.0,2703317.4570903433,1.3333408502474895E14
19,2696216.111152431,3.708900132202539E-7,0.009120567438139224,1186.0,2696182.111152431,1.7333397467463966E14
20,2693717.3614248233,3.712340585862351E-7,0.0098073917618463,7.0,2693660.3614248233,2.3333375382232794E14
21,2693717.3614248233,3.712340585862351E-7,0.009951281658486947,7.0,2693660.3614248233,1.1333488113094569E14
22,2684441.410636099,3.7251683852031023E-7,0.009244999003898424,673.0,2684403.410636099,4.666824911641425E13
23,2684441.410636099,3.7251683852031023E-7,0.00805254583785295,673.0,2684403.410636099,8.666791884515198E13
24,2684441.410636099,3.7251683852031023E-7,0.008321774976427648,673.0,2684403.410636099,7.334415855379953E13
25,2684441.410636099,3.7251683852031023E-7,0.008787002256284338,673.0,2684403.410636099,1.2000121094049686E14
26,2680087.0536827445,3.7312206911481387E-7,0.009217115046751895,382.0,2680007.0536827445,1.7333399108392544E14
27,2680087.0536827445,3.7312206911481387E-7,0.009698705012261616,382.0,2680007.0536827445,1.9333462475038878E14
28,2680087.053266039,3.7312206917282763E-7,0.007974497129296649,381.0,2680007.053266039,1.0666771908013314E14
29,2680087.053266039,3.7312206917282763E-7,0.008706748941954806,381.0,2680007.053266039,1.4000053554796592E14
30,2680087.053266039,3.7312206917282763E-7,0.0089444833801107,381.0,2680007.053266039,1.0666805673766806E14
31,2680087.053266039,3.7312206917282763E-7,0.009615609551765403,381.0,2680007.053266039,1.8672997705600462E14
32,2680086.0343628577,3.7312221102466244E-7,0.008496503578620442,391.0,2680007.0343628577,8.000038171877677E13
33,2680086.0343628577,3.7312221102466244E-7,0.00877000256994409,391.0,2680007.0343628577,1.0000294572760681E14
34,2680047.511909246,3.731275742048444E-7,0.008736493508430322,375.0,2679962.511909246,1.4666720373432672E14
35,2679154.020652391,3.7325201128395093E-7,0.007921270849977747,1137.0,2679071.020652391,1.0224167623798869E14
36,2676822.6664825915,3.735770915810914E-7,0.008425158958683968,584.0,2676734.6664825915,8.666775446535031E13
37,2676822.6664825915,3.735770915810914E-7,0.008855125488308654,584.0,2676734.6664825915,8.710422351330669E13
38,2676822.6664825915,3.735770915810914E-7,0.007213691669562439,584.0,2676734.6664825915,2.000170673554122E13
39,2674649.194259898,3.7388066751536824E-7,0.007436270797092577,300.0,2674577.194259898,4.666692425429298E13
40,2674649.194259898,3.7388066751536824E-7,0.007694081282938558,300.0,2674577.194259898,1.0666692225833012E14
41,2674649.194259898,3.7388066751536824E-7,0.008009151380257052,300.0,2674577.194259898,6.6667316742523625E13
42,2674306.1407624385,3.7392862800153256E-7,0.007906846977527755,514.0,2674232.1407624385,8.666715346473472E13
43,2674287.680327812,3.7393120920566463E-7,0.008750572248459283,744.0,2674194.680327812,8.667436815595372E13
44,2674279.599315316,3.739323391330085E-7,0.007629005490747533,728.0,2674193.599315316,1.0000006430151286E14
45,2674279.599315316,3.739323391330085E-7,0.008005278996774022,728.0,2674193.599315316,8.666723534082477E13
46,2674279.599315316,3.739323391330085E-7,0.00863601417183438,728.0,2674193.599315316,1.0682541863216728E14
47,2674278.545197627,3.7393248652548805E-7,0.00943645277294955,722.0,2674192.545197627,1.2666798848954731E14
48,2674270.784779561,3.7393357163300794E-7,0.009160279979129809,750.0,2674194.784779561,1.0666947214319688E14
49,2673217.2682140563,3.74080939027881E-7,0.008040452779552565,743.0,2673121.2682140563,7.333416791877072E13
