Gen;Average MSE
5;16000.926476040591
10;26000.819304149878
15;29461.943557144314
20;21334.30226233526
25;18702.528135334953
30;15370.48746247951
35;20667.06132896422
40;13333.734051135181
45;14667.056425592948
50;12667.263459992959
55;18037.1743119322
60;12733.457891071841
65;20000.486423382616
70;24000.462943667473
75;14166.355917371622
80;20014.595693956733
85;14000.744651605784
90;20000.432285186725
95;19333.912414079005
100;16001.619867640116
105;18000.691566875466
110;19333.822356100718
115;17333.626940539336
120;9333.957790776214
125;7339.684581369095
130;20000.278375885053
135;8000.165779445792
140;8667.166990868001
145;21335.819391228113
150;8666.832800606779
155;13333.565537346445
160;10666.897357559576
165;6000.144783993679
170;26000.139603494234
175;2666.805685579099
180;14000.279354343667
185;4000.157729826272
190;12666.927187930005
195;16666.854128658524
200;6875.670710322626
205;4666.807957998322
210;4000.6108932140382
215;7333.793416024429
220;5333.402983723005
225;11333.608729189596
230;8000.255322694798
235;2667.184902622959
240;8000.202828549831
245;4666.7609262160795
250;10000.094366668085
255;14000.177680837909
260;10000.278241746082
265;5337.4408942111795
270;5333.628055962314
275;6874.000637392333
280;11333.378849563995
285;12000.038596954986
290;8000.407504354086
295;10667.6143532206
300;4666.785018533225
305;10000.323699422996
310;5333.495951408613
315;11333.584140364559
320;8000.3430227158315
325;6000.203801795308
330;2666.7580137951622
335;4666.875907008938
340;5334.906252921807
345;4666.745946732702
350;8667.07128673714
355;16000.160340203447
360;19333.56442247662
365;13333.425555798221
370;19333.648431711194
375;11333.946702285846
380;8666.79354633017
385;10000.439167736205
390;5333.350375776091
395;12666.829187600337
400;6000.1388447808795
