Gen;Average MSE
5;11421.110796674217
10;23591.210252757082
15;16347.227532841905
20;20734.82851817008
25;39333.837577545615
30;20036.285200616185
35;25446.54745638459
40;15420.517735385125
45;26000.955814093428
50;19333.802115647417
55;10740.185538292475
60;12670.871205782581
65;9135.050021962226
70;10682.04465495747
75;23338.984474055258
80;21334.02116777344
85;17333.9349314385
90;19333.52080603962
95;25333.593873893995
100;22040.991165778978
105;22141.982086319083
110;23372.607600672352
115;20666.93942633088
120;23333.574425037066
125;18666.84784881554
130;28000.112300909026
135;21385.973531102096
140;15334.804723906525
145;10000.325149543558
150;18073.918511346496
155;14000.136985805026
160;24667.106842398905
165;10666.939807376728
170;15029.704945148453
175;15411.2800494679
180;17334.24685700599
185;14667.322498723172
190;12667.02279440466
195;20000.253428572418
200;7333.380060939122
205;16067.724989436956
210;12000.11144716603
215;6666.956151179957
220;12000.095044033384
225;12000.075250593463
230;9340.630075934181
235;12694.497529462062
240;6667.330723797717
245;16000.057576059253
250;11333.472510845855
255;4000.2089415764344
260;14669.436942038294
265;10000.06566321988
270;11333.60770231287
275;14002.958158728765
280;20000.237991165508
285;8666.968327051929
290;18666.886144246586
295;18000.00005880504
300;17333.39889616644
305;10666.945432453234
310;19348.61643486923
315;22702.758473033817
320;14001.075931326299
325;14000.02734022827
330;26666.816630311827
335;12666.806662779863
340;11333.377812704031
345;22667.46695675385
350;10667.425485980059
355;8666.79695478807
360;10793.784516740487
365;13334.347657817209
370;21333.35327627283
375;9333.831581539727
380;8666.874669912275
385;7333.449458331739
390;18000.139349332298
395;2000.023294268469
400;19333.372459695765
