Gen;Average MSE
5;16742.376614848647
10;10000.64772290636
15;9414.834146982803
20;14667.061591197129
25;26667.20305762734
30;17352.86284293361
35;26000.858140171233
40;14667.737527839046
45;19334.281329745343
50;17334.361136092833
55;26000.609047085003
60;20667.719157802792
65;30000.454071114007
70;28000.767011571228
75;25368.757705909073
80;17334.351495626637
85;22721.170566518023
90;23334.19304155724
95;15333.984891875252
100;14001.160260879344
105;20555.643453872624
110;15335.51570627118
115;20016.07055118207
120;14000.750942790391
125;10000.108891313832
130;18667.187220509895
135;8000.684972844869
140;11333.900077400609
145;7333.676805352862
150;6000.324080684834
155;22667.617855678138
160;18000.58205130621
165;10667.17611033318
170;18000.320842305493
175;7333.802765281591
180;16666.9410861181
185;11333.433254881638
190;15333.565209315537
195;24003.951465595404
200;6000.191565201343
205;15333.883521974729
210;10667.012854429719
215;7403.895877112409
220;13369.580507023516
225;20000.06970944167
230;7333.515105878825
235;8666.84806779324
240;15333.61976764724
245;9333.665720746814
250;10666.904165204198
255;10000.278384760195
260;10000.255402739995
265;5333.414081632913
270;8666.905380236769
275;8666.866103718763
280;17333.60774284599
285;8666.690088876601
290;10666.875721125822
295;3333.8764581377104
300;12012.753004286182
305;9333.426216656904
310;5333.681770283743
315;9335.365264850527
320;8000.116080803701
325;16000.046489945087
330;10666.89307089368
335;5333.379937661398
340;2666.973561184897
345;7333.749420765087
350;6666.759611470992
355;14000.265258006048
360;4667.056435627475
365;10000.023435849165
370;4000.535256258662
375;4000.075779117186
380;8666.687359400064
385;7333.3797780796685
390;9333.463074522124
395;9333.47097488296
400;15467.686067708153
