Gen;Average MSE
5;28000.931556953736
10;31333.613022457594
15;28680.633451007376
20;22000.636607235607
25;24000.470501599808
30;15333.963058813597
35;12000.390582682801
40;10110.192945701854
45;12000.38441271336
50;23333.601342395603
55;6005.745219389826
60;10000.182021288345
65;16847.82453737827
70;16000.872348230338
75;7458.803889055406
80;14000.09023952866
85;8666.734527807139
90;13333.749042513977
95;12000.067838600722
100;9334.441756526527
105;10667.03274710368
110;8005.708686487942
115;4667.973927690538
120;4000.4007179859796
125;6000.128898076262
130;15346.493096332424
135;20000.259047318723
140;7333.50323787565
145;4666.744673939464
150;6101.736728963541
155;7333.493472063383
160;6667.17891042648
165;8666.893658086841
170;10039.374420475795
175;6666.689968641117
180;12000.039780475865
185;12667.269919791232
190;4666.828539359787
195;11333.402967230302
200;16666.81567799707
205;8666.87093924904
210;10000.134544155175
215;15675.167168742191
220;4000.4694987296757
225;12000.05188919044
230;8000.536980981897
235;7333.902175620352
240;14000.09126385865
245;3333.4709477898255
250;16000.126331548641
255;12000.18142263395
260;4666.860712244324
265;15333.401112103113
270;20666.830548606828
275;10099.567562612408
280;10668.349966874033
285;14000.124515661899
290;10008.901552448198
295;12000.114264845255
300;26666.85120096849
305;20000.25500071267
310;8001.179388357596
315;6013.671181604779
320;3333.3939572609265
325;12000.343220189232
330;16000.457880890703
335;22000.142852104014
340;8000.4652971891655
345;9333.426228548424
350;15333.539053473485
355;14000.218827098699
360;12667.012736713226
365;7333.47125403248
370;16666.86089551066
375;9348.429401352409
380;10667.016347251676
385;12243.61484320385
390;5780.569174628961
395;7333.563444426236
400;9333.513780107336
