Gen;Average MSE
5;22702.592176248585
10;23334.94089436045
15;24668.05564535219
20;27333.939858041147
25;18667.326532503877
30;13334.352207889193
35;20000.62194332921
40;20078.27561084843
45;31361.671437713936
50;30667.157006710906
55;25334.318752934807
60;20667.678091361628
65;16667.082413470158
70;23334.137313274223
75;16000.518851806115
80;7333.795554918347
85;2666.8886092337775
90;13333.502210604656
95;23334.123662459482
100;6911.882485602012
105;20000.462954841063
110;13333.510028710796
115;8000.229633929299
120;12000.333813862831
125;11333.60396686521
130;14752.90967964584
135;11333.984114786203
140;11333.56589888997
145;8701.943768048595
150;2666.895382407661
155;8666.819452588466
160;17333.379796911486
165;24001.155515414408
170;10667.128564594559
175;16000.384904149734
180;8000.26974256771
185;3333.921662703304
190;6807.7548082772355
195;13333.682303503476
200;12666.689706385874
205;6000.133940469064
210;8315.620245627437
215;5333.692112761322
220;16000.125230297013
225;9333.426248353604
230;7333.758450981752
235;14666.957583385709
240;4666.735060572017
245;10666.759752646949
250;3333.5725992274706
255;5333.925679328859
260;2666.7744012799985
265;6000.2775439471925
270;3333.3674496919416
275;6000.1040824104575
280;14667.88701233179
285;9333.76175144319
290;10019.752946348395
295;4000.2884016147805
300;10000.735267029553
305;4000.7437152511657
310;13333.58438047441
315;7334.059491378641
320;10667.430814891073
325;9333.725811211945
330;5333.509422382189
335;8666.689949908925
340;20000.2481562632
345;6666.851943551672
350;10001.274605315752
355;9333.721491480666
360;4667.060947956021
365;8000.6244066765985
370;4000.067919682511
375;10000.004878637346
380;3334.4126229891585
385;6000.314927067142
390;14666.666734497207
395;19333.784737923037
400;8000.000866158262
