Gen;Average MSE
5;21512.956354098398
10;25334.238247712492
15;32000.561645786944
20;28038.753694906973
25;22003.11293819763
30;17334.17596023486
35;18667.101480450292
40;23337.410805137264
45;18669.49028118963
50;25333.88680210981
55;20671.182169577554
60;8003.382043237244
65;22685.86656978873
70;19351.45994064319
75;23333.904636125077
80;22667.371133981487
85;16667.545358447165
90;7333.690343332886
95;16666.982443850087
100;16667.95874483065
105;15333.81612389761
110;14084.140418732937
115;16001.299538444284
120;9335.054435533773
125;16667.60876220429
130;14168.996065324096
135;22004.06620477515
140;18666.892619337494
145;14000.765184532085
150;15336.148206265212
155;15333.564996322413
160;14667.290810763825
165;26666.989498966308
170;16074.845055395084
175;16002.714656119104
180;16723.195566213508
185;10002.917213890294
190;19333.93320845257
195;12145.995430286559
200;18869.706743215178
205;20363.835194914256
210;25336.77210157071
215;20001.08968309463
220;24667.42013953399
225;18711.299090318455
230;26001.131929694155
235;32001.312839442668
240;34667.527687363094
245;20701.0748523893
250;37333.943573087556
255;28667.475476623382
260;20043.563676250924
265;18667.892181620857
270;17411.639521880727
275;35333.797832316166
280;24668.73385339394
285;15333.80655735972
290;12000.42514668868
295;22668.10664567352
300;14000.31547322302
305;8002.782413936806
310;12667.138844351488
315;18184.2007615853
320;17333.381050460786
325;16736.31006142727
330;15333.515666249354
335;9351.0482353254
340;9333.407346661537
345;15333.462651990725
350;20001.2289536739
355;14672.6091176629
360;13333.562642431305
365;13333.606434846448
370;6000.323433710059
375;12051.047046968944
380;11333.637747889428
385;30000.356513282844
390;9368.91234772806
395;14667.838306292975
400;8666.988012785232
