Gen;Average MSE
5;19336.10987714377
10;22045.014138619816
15;15371.936027252537
20;10667.087342960576
25;18667.316725252746
30;16000.700168199437
35;8667.043184408607
40;22684.73157357706
45;19338.463722520853
50;12668.26720346955
55;19338.260904607785
60;7334.113063849986
65;16666.73676510743
70;8000.450123165544
75;15333.485086778384
80;6666.902959735681
85;2000.0459908037606
90;12666.97159403275
95;19334.08455303878
100;18666.867930374196
105;22000.228059245368
110;14038.772361961304
115;8666.940884939304
120;20667.505597976065
125;1333.5925885614815
130;7333.558560867054
135;12667.035140241811
140;4666.826446332241
145;7333.808756189844
150;8667.11411875913
155;7370.456698513201
160;20699.473384545166
165;13333.712276475268
170;24666.757703958356
175;10000.228288648681
180;4666.849017704697
185;8683.018076110593
190;14000.228499474724
195;19370.178335574605
200;20000.1850934602
205;8000.043687891303
210;3333.3798979464486
215;5333.453164174488
220;18667.764868853246
225;20000.225696404883
230;6000.2069856107655
235;12000.05217042105
240;15001.861118434912
245;6000.296932499438
250;11333.425754158938
255;8666.975908692975
260;10666.760155266145
265;8667.073145940158
270;15333.429739537047
275;10000.394200488026
280;13333.676703775829
285;20669.229557374332
290;12666.822861623055
295;3333.458975270774
300;15333.753109723753
305;12001.704807718821
310;3333.7423402909108
315;12000.466984774057
320;18666.924368407246
325;5333.403484207906
330;22667.413837768552
335;9357.271441318084
340;10666.708190325042
345;7450.657636717894
350;10666.89682377762
355;2000.0233936050781
360;3333.458039099614
365;5333.589864675077
370;10666.853680111511
375;8041.175009897436
380;13337.138669589227
385;8666.984904396504
390;8666.713252569518
395;16038.306086827923
400;14666.749530950554
