Gen;Average MSE
5;24001.033874868983
10;16000.953612264631
15;28291.644951871407
20;33369.46884074648
25;34667.5241286911
30;9334.016103951555
35;12000.567930643127
40;12667.12905500008
45;9333.509106151498
50;8667.03386225656
55;24796.64522760298
60;9333.473067055693
65;12028.491670165758
70;17333.517126450664
75;16020.0926272793
80;16000.215878438972
85;14000.213995346205
90;13333.609480907005
95;28666.8664099269
100;16670.170331280693
105;14667.819282444907
110;19334.129002488033
115;24014.65223991123
120;24000.727840106676
125;22003.708426715537
130;18000.465467191523
135;22667.09234460304
140;20667.34316679566
145;25333.82106019363
150;14000.40460570303
155;16667.142206051405
160;35334.16283982478
165;19649.648680857237
170;24072.540344567482
175;17333.89155206611
180;30018.513744830638
185;26666.90678330918
190;20000.658023868957
195;9333.823996893994
200;12681.78151921261
205;6667.00343742287
210;6000.362003145718
215;20000.17676339831
220;8000.255324187163
225;13338.805337232101
230;20000.33782789825
235;2666.976400616565
240;17029.8407050291
245;7333.586734809611
250;8000.275192598408
255;12000.39295830853
260;6667.085891122079
265;6000.766465504921
270;13333.525328528714
275;15333.656152159081
280;4667.150714708729
285;4667.760433649502
290;12000.164736137378
295;10711.959649813667
300;13334.419380584555
305;10000.098422232104
310;7334.148519255668
315;23368.74134657189
320;8666.890038777325
325;4000.369227424243
330;4000.388247373515
335;9844.270851173871
340;2000.186698534402
345;6666.724626193975
350;9379.797873223628
355;8000.106226541755
360;11333.764951626641
365;2000.3859549599988
370;7333.575494538403
375;11333.512732631856
380;8666.868268255277
385;3333.5660636667594
390;6666.851205722447
395;10000.257878080209
400;4739.187708432877
