Gen;Average MSE
5;11334.129781592268
10;20000.520490834708
15;17333.648486256563
20;10667.519639164177
25;20143.13529823424
30;16034.813573483938
35;16000.896815259663
40;14666.87203119869
45;15394.73332737001
50;17423.005818907233
55;27334.044750010555
60;14718.531943428754
65;6667.750373401385
70;14031.553517510629
75;10667.247758282574
80;12019.542859010933
85;11369.725860620023
90;18667.071878843824
95;26666.964231980106
100;7333.746345742823
105;15333.809741334215
110;8667.3763432543
115;12000.7858567524
120;28000.84779738864
125;22001.662637803827
130;20667.63552360765
135;30000.968365615514
140;25427.943213321083
145;17018.589231398433
150;17334.458668970503
155;26039.166710183963
160;16668.16907309021
165;18070.95042880052
170;18001.71810541428
175;16667.180912629094
180;18106.56499743423
185;18000.64469186418
190;13333.787328399107
195;14000.660240511357
200;20666.912330576142
205;22666.9845461809
210;14000.394862047755
215;14000.496708872493
220;20667.8700790573
225;16000.253991993213
230;20666.992019105553
235;16000.495539570427
240;21334.296400939515
245;34880.86961820554
250;10249.32611755852
255;6000.275381398177
260;14709.971544490812
265;24000.15598228045
270;14667.455332746153
275;22000.49560079823
280;20037.609268279415
285;22001.418671468342
290;25070.829596196436
295;14026.678310801562
300;15611.56422872123
305;24666.892079097983
310;14705.340634331138
315;14670.686191209676
320;4000.037029295023
325;9333.94290848974
330;12666.831699425456
335;17333.528080127246
340;16704.68362124047
345;14667.164951309282
350;12000.209578839225
355;9333.690093856496
360;10666.859126918775
365;12666.852786983762
370;7362.568601074912
375;19333.427374317445
380;14667.247387182666
385;6666.781700271989
390;13333.481726134096
395;12666.736528062622
400;10000.175341636706
