Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio
6,150,0.6749296953957923
0,3.483261613359244E7,2.8708724244426753E-8,0.20236453571275412,14945.0
1,2.3259419E7,4.2993333453714664E-8,0.13157412888550368,18727.0
2,4.39265411327342E7,2.276527929237564E-8,0.08961318483759409,472.0
3,2.3250344E7,4.3010114473570174E-8,0.13816490424607067,27872.0
4,2.3250344E7,4.3010114473570174E-8,0.0856613631703352,27872.0
5,2.3240755218240447E7,4.302785979120389E-8,0.15369156581024726,462.0
6,2.321487955842575E7,4.307581929974884E-8,0.13756935015010824,430.0
7,2.3250344E7,4.3010114473570174E-8,0.12367839659768262,27872.0
8,1.0541630117187543E7,9.486197998045632E-8,0.2888565165033048,1960.0
9,1.0520245023750346E7,9.505481124133554E-8,0.12296891796815955,356.0
10,2.3243069562359538E7,4.302357544873728E-8,0.14189742741980135,10602.0
11,5984187.0,1.6710704944430222E-7,0.37084193859429293,25126.0
12,5984187.0,1.6710704944430222E-7,0.21120787785405756,25126.0
13,5984187.0,1.6710704944430222E-7,0.08385092503473725,25126.0
14,2.3250344E7,4.3010114473570174E-8,0.11878080590035628,27872.0
15,5.747329257670003E7,1.7399385658409615E-8,0.20143452837145776,12026.0
16,2.3250344E7,4.3010114473570174E-8,0.06110523585465462,27872.0
17,2.3250344E7,4.3010114473570174E-8,0.10477772714238325,27872.0
18,2.325997692390516E7,4.299230219699659E-8,0.1615759372260086,15391.0
19,2.3253468045853093E7,4.300433617143826E-8,0.03865395825620071,1933.0
20,2.3250344E7,4.3010114473570174E-8,0.1923326678834838,27872.0
21,2.3250344E7,4.3010114473570174E-8,0.08959461892313458,27872.0
22,2.8100490848161932E7,3.558656572288469E-8,0.19046716524647261,22716.0
23,2.3250344E7,4.3010114473570174E-8,0.08856548830160711,27872.0
24,2.3250344E7,4.3010114473570174E-8,0.1442653579366005,27872.0
25,2.3260163546643794E7,4.299195725785568E-8,0.0910405263327897,18073.0
26,4.490101960761446E7,2.2271208682290328E-8,0.08860257669313346,418.0
27,2.3250344E7,4.3010114473570174E-8,0.15531882259170982,27872.0
28,2.1404910460673433E7,4.671824977352831E-8,0.06586883486980401,261.0
29,7537196.186625442,1.326753135468545E-7,0.27239043170768745,24443.0
30,7537196.186625442,1.326753135468545E-7,0.0675749019797478,24443.0
31,4.620087E7,2.1644613583150846E-8,0.15152684136123615,23973.0
32,2.1432335249666736E7,4.665846916318092E-8,0.07641164886596358,275.0
33,4.620899912895103E7,2.1640805843220927E-8,0.23479907868294897,398.0
34,2.3249636328149877E7,4.301142361430446E-8,0.03766250559675255,1990.0
35,6604089.100692532,1.514213138756444E-7,0.32846778423235634,1129.0
36,6586280.0,1.5183075243828802E-7,0.09109347156006294,25093.0
37,2.3250344E7,4.3010114473570174E-8,0.1691293569285625,27872.0
38,2.3248289310406864E7,4.3013915718024224E-8,0.055369449186190814,929.0
39,2.3250344E7,4.3010114473570174E-8,0.1675219443800718,27872.0
40,2.1459588612773106E7,4.659921359375779E-8,0.09036981593581268,318.0
41,2.3108631747911297E7,4.327387132371067E-8,0.14177314531864488,6830.0
42,2.3250344E7,4.3010114473570174E-8,0.22557973583430777,27872.0
43,2.3250344E7,4.3010114473570174E-8,0.1175839003883363,27872.0
44,1.049842054085009E7,9.525241448049407E-8,0.17881086679648114,21388.0
45,1.049842054085009E7,9.525241448049407E-8,0.15378983495891146,21388.0
46,1.049842054085009E7,9.525241448049407E-8,0.07413770586280158,21388.0
47,5984187.0,1.6710704944430222E-7,0.4092536031199065,25126.0
48,5984187.0,1.6710704944430222E-7,0.41933379939638,25126.0
49,5984187.0,1.6710704944430222E-7,0.19558732035061618,25126.0
50,5984187.0,1.6710704944430222E-7,0.08072797333002225,25126.0
51,2.32506946828792E7,4.3009465765635415E-8,0.09437191136967876,2441.0
52,2.0234517780541096E7,4.9420498250824166E-8,0.09840975463231771,291.0
53,2.312432427317657E7,4.3244505004432105E-8,0.12487317497668725,322.0
54,2.3250344E7,4.3010114473570174E-8,0.16232097598036424,27872.0
55,2.079202685306419E7,4.809535688711703E-8,0.0718346043651723,239.0
56,4.620087E7,2.1644613583150846E-8,0.16007418697104742,23973.0
57,2.1432129596206997E7,4.6658916877679785E-8,0.10103365635355456,290.0
58,2.3250352E7,4.301009967461569E-8,0.1590576924909959,27872.0
59,2.222498359599302E7,4.499440688837605E-8,0.04956290612034633,80.0
60,2.1488003366039027E7,4.6537592926984975E-8,0.08162288891646265,317.0
61,3.483261613359244E7,2.8708724244426753E-8,0.09721605115790818,14945.0
62,2.324368735504452E7,4.302243192754615E-8,0.20648495594698674,19150.0
63,2.324368735504452E7,4.302243192754615E-8,0.06533757993318712,19150.0
64,2.324314061460197E7,4.3023443929445964E-8,0.11699219866877415,10820.0
65,2.3250348E7,4.301010707409166E-8,0.2338263624170985,27872.0
66,2.3250344E7,4.3010114473570174E-8,0.13096403212806854,27872.0
67,2.3250344E7,4.3010114473570174E-8,0.16851017971719695,27872.0
68,2.3250344E7,4.3010114473570174E-8,0.12034334444733086,27872.0
69,2.3250344E7,4.3010114473570174E-8,0.130193218465558,27872.0
70,2.3250344E7,4.3010114473570174E-8,0.14607596123087682,27872.0
71,2.0951720127527613E7,4.772877578473211E-8,0.09192350625943198,35.0
72,2.0796059494881213E7,4.808603053670392E-8,0.07829003524322285,22.0
73,6586280.0,1.5183075243828802E-7,0.20313173645094343,25093.0
74,6586280.0,1.5183075243828802E-7,0.12676015691023382,25093.0
75,2.3250344E7,4.3010114473570174E-8,0.12580001086703677,27872.0
76,2.3250344E7,4.3010114473570174E-8,0.14954298563754656,27872.0
77,6404237.249785356,1.5614659558199852E-7,0.24620465496587424,15288.0
78,6404237.249785356,1.5614659558199852E-7,0.132743357979011,15288.0
79,2.3250344E7,4.3010114473570174E-8,0.15874248948596278,27872.0
80,2.1529621313226685E7,4.644763319353038E-8,0.06621004793840927,9842.0
81,1.2277566903337022E7,8.144935608364273E-8,0.15692167211794944,12292.0
82,1.2277566903337022E7,8.144935608364273E-8,0.13291252358110173,12292.0
83,4.5402030005421996E7,2.2025446392047486E-8,0.09313132421606972,24107.0
84,2.3250344E7,4.3010114473570174E-8,0.20662483339191984,27872.0
85,2.3250344E7,4.3010114473570174E-8,0.10797575417891117,27872.0
86,5053539.917205258,1.978810533808889E-7,0.18751896019318454,24557.0
87,5053539.917205258,1.978810533808889E-7,0.38064790291082856,24557.0
88,5053539.917205258,1.978810533808889E-7,0.13465616658430452,24557.0
89,1.2280611319841115E7,8.142916443867824E-8,0.22594294237265075,9470.0
90,1.2280611319841115E7,8.142916443867824E-8,0.16830591501816772,9470.0
91,1.2280611319841115E7,8.142916443867824E-8,0.10205708299099252,9470.0
92,1.2272268413632626E7,8.148452142756515E-8,0.24814192609793173,1320.0
93,6395175.249785347,1.5636785616871228E-7,0.14980845076315086,24428.0
94,2.3250344E7,4.3010114473570174E-8,0.17658251553336718,27872.0
95,2.3250344E7,4.3010114473570174E-8,0.09036778666135191,27872.0
96,2.3250344E7,4.3010114473570174E-8,0.12953480545443458,27872.0
97,2.3259581E7,4.299303401067139E-8,0.14045959329826563,18562.0
98,2.3267799743733972E7,4.297784784276616E-8,0.1413762340190805,13318.0
99,2.1514807327380236E7,4.6479614634882765E-8,0.0819316102975993,356.0
100,2.3250412E7,4.300998868278168E-8,0.08760039078739901,27872.0
101,4.399115442958014E7,2.2731842122236894E-8,0.04342239399487516,531.0
102,4.620087E7,2.1644613583150846E-8,0.0357147696416567,23973.0
103,2.1404910460673433E7,4.671824977352831E-8,0.0612292824488302,261.0
104,9590133.0,1.0427382975044979E-7,0.18361834320846068,22031.0
105,9590133.0,1.0427382975044979E-7,0.16176682975142573,22031.0
106,9590133.0,1.0427382975044979E-7,0.054944720626934784,22031.0
107,2.3250344E7,4.3010114473570174E-8,0.10985166506320063,27872.0
108,2.3250344E7,4.3010114473570174E-8,0.22074204865959995,27872.0
109,2.3211561528405108E7,4.308197687149462E-8,0.06948826944529943,9673.0
110,4925803.461962413,2.0301252469969253E-7,0.23679680076366247,13210.0
111,4925803.461962413,2.0301252469969253E-7,0.10336618221180258,13210.0
112,2.3250344E7,4.3010114473570174E-8,0.09530257181414727,27872.0
113,2.3250344E7,4.3010114473570174E-8,0.16603184930649534,27872.0
114,2.3250344E7,4.3010114473570174E-8,0.0894890439037733,27872.0
115,2.3250344E7,4.3010114473570174E-8,0.12489251468909918,27872.0
116,2.3250344E7,4.3010114473570174E-8,0.11476083048032201,27872.0
117,4.379563648564983E7,2.28333244453323E-8,0.07011363258563007,1972.0
