Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio
4,300,0.7890595198391759
0,1.0995126005422E7,9.094938144023916E-8,0.2074497463240119,21983.0
1,1.0995126005422E7,9.094938144023916E-8,0.08555700463195784,21983.0
2,1.0995145005422E7,9.094922427650104E-8,0.13846371672597965,21983.0
3,4.620087E7,2.1644613583150846E-8,0.11331692103218202,23973.0
4,4.277625852199409E7,2.3377453082026357E-8,0.028423923242862296,375.0
5,2.32225483909247E7,4.306159427917061E-8,0.0743407610912736,234.0
6,5984196.0,1.6710679812178642E-7,0.16196764304927563,25126.0
7,5984196.0,1.6710679812178642E-7,0.1416148273547368,25126.0
8,2.3440025994108755E7,4.266206691021869E-8,0.07293497019479421,22814.0
9,2.3250344E7,4.3010114473570174E-8,0.08199665932395157,27872.0
10,2.4585318E7,4.0674680690537306E-8,0.12706038331028832,22940.0
11,2.3250344E7,4.3010114473570174E-8,0.10162805586210148,27872.0
12,9341255.51982909,1.0705197934317044E-7,0.2382738903046731,552.0
13,7539491.186625451,1.3263492755837486E-7,0.07504046452280239,24165.0
14,7567179.977032627,1.3214960802908365E-7,0.12713725046931196,1718.0
15,2.3250344E7,4.3010114473570174E-8,0.05499471773230652,27872.0
16,2.0964999480423443E7,4.7698544101335617E-8,0.05654135669874227,358.0
17,2.3250344E7,4.3010114473570174E-8,0.058854966334957494,27872.0
18,2.3250344E7,4.3010114473570174E-8,0.048249561714245236,27872.0
19,7180018.714787231,1.39275383595466E-7,0.1699322355710821,24500.0
20,7180018.714787231,1.39275383595466E-7,0.07964824576862314,24500.0
21,7190241.714787225,1.390773635420445E-7,0.29959860183290654,15171.0
22,7190241.714787225,1.390773635420445E-7,0.17404691964106564,15171.0
23,7190241.714787225,1.390773635420445E-7,0.06092724318899056,15171.0
24,1.3759393478843847E7,7.267761684844334E-8,0.17979400740343035,459.0
25,1.3759393478843847E7,7.267761684844334E-8,0.10951876419673631,459.0
26,2.3250344E7,4.3010114473570174E-8,0.055766058519541216,27872.0
27,2.3250344E7,4.3010114473570174E-8,0.1564969048970075,27872.0
28,2.3250344E7,4.3010114473570174E-8,0.11294583035666404,27872.0
29,2.3250344E7,4.3010114473570174E-8,0.07229671593817989,27872.0
30,2.1414433373455163E7,4.669747435587544E-8,0.07726849102075531,152.0
31,2.1459588612773106E7,4.659921359375779E-8,0.08144997745678281,318.0
32,2.3249261381762464E7,4.301211726976917E-8,0.07023000880491628,1662.0
33,2.3250344E7,4.3010114473570174E-8,0.08395288082251214,27872.0
34,2.3250344E7,4.3010114473570174E-8,0.12097877773698515,27872.0
35,2.3250344E7,4.3010114473570174E-8,0.11751284060357653,27872.0
36,2.3250344E7,4.3010114473570174E-8,0.0764923648099838,27872.0
37,2.3250344E7,4.3010114473570174E-8,0.07563597749295284,27872.0
38,2.3250344E7,4.3010114473570174E-8,0.058432929704708696,27872.0
39,2.148558805796973E7,4.6542824462570005E-8,0.03972814493688612,135.0
40,2.3250344E7,4.3010114473570174E-8,0.06208789127368808,27872.0
41,1.0995126005422E7,9.094938144023916E-8,0.08641666399929353,21983.0
42,2.3250344E7,4.3010114473570174E-8,0.038639621755187835,27872.0
43,2.3250344E7,4.3010114473570174E-8,0.08100069761570243,27872.0
44,2.1432129596206997E7,4.6658916877679785E-8,0.07059612978383169,290.0
45,2.1404910460673433E7,4.671824977352831E-8,0.06055394387799902,261.0
46,5984187.0,1.6710704944430222E-7,0.12312230364337513,25126.0
47,2.3250344E7,4.3010114473570174E-8,0.08093936372983183,27872.0
48,2.3250344E7,4.3010114473570174E-8,0.084876364238581,27872.0
49,2.1395840460673433E7,4.6738054300787715E-8,0.10640797415931857,9406.0
50,2.3306335767815985E7,4.290678582233964E-8,0.06794273572304384,31.0
51,7181426.714787227,1.3924807708374018E-7,0.13132720956181984,24114.0
52,2.3250344E7,4.3010114473570174E-8,0.04687923730562381,27872.0
53,2.15146551145907E7,4.64799434708057E-8,0.09113387386208047,356.0
54,2.3250348E7,4.301010707409166E-8,0.1401289996944898,27872.0
55,2.3137138862457644E7,4.3220553877646796E-8,0.08019739311883273,105.0
56,2.0660083088612486E7,4.8402513547908755E-8,0.0734260507216529,133.0
57,2.3250344E7,4.3010114473570174E-8,0.04052893646604931,27872.0
58,2.1514662757836264E7,4.647992695845739E-8,0.06353123545131709,356.0
59,2.3250344E7,4.3010114473570174E-8,0.1000999301106237,27872.0
60,2.060938727137952E7,4.852157603283698E-8,0.09253627001202991,21.0
61,2.3250344E7,4.3010114473570174E-8,0.10732128873118178,27872.0
62,2.1459588612773106E7,4.659921359375779E-8,0.08721762093740301,318.0
63,2.050817414008168E7,4.8761042519359776E-8,0.0656184907442871,109.0
64,2.157669145732841E7,4.6346306412702995E-8,0.0729801860280336,425.0
65,2.3250344E7,4.3010114473570174E-8,0.05961260880029459,27872.0
66,7190241.714787225,1.390773635420445E-7,0.15261339817755684,15171.0
67,5827485.781660547,1.7160056083645877E-7,0.1436175664305542,742.0
68,2.3250344E7,4.3010114473570174E-8,0.08049828907786032,27872.0
69,2.33152357733225E7,4.289040723550399E-8,0.14362063031155464,23.0
70,2.3250344E7,4.3010114473570174E-8,0.12062444175402119,27872.0
71,5984187.0,1.6710704944430222E-7,0.18001514710433236,25126.0
72,5984187.0,1.6710704944430222E-7,0.055204710361959446,25126.0
73,2.219551573395854E7,4.5054143680738334E-8,0.06092385573381465,11764.0
74,2.1421568056898344E7,4.6681921260943864E-8,0.12126666724354798,10849.0
75,2.3250344E7,4.3010114473570174E-8,0.08061591592936462,27872.0
76,1.2160963666108802E7,8.223031868408302E-8,0.12416091741672951,236.0
77,6724318.005422,1.48713943998444E-7,0.3838206195693538,2092.0
78,6724318.005422,1.48713943998444E-7,0.1344426683442809,2092.0
79,5984187.0,1.6710704944430222E-7,0.19253671472426317,25126.0
80,5984187.0,1.6710704944430222E-7,0.16190249119738837,25126.0
81,5984187.0,1.6710704944430222E-7,0.03984328283470908,25126.0
82,2.3250344E7,4.3010114473570174E-8,0.060134655392499986,27872.0
83,4.6101850417364776E7,2.169110283547829E-8,0.061531381765185314,1254.0
84,2.3250344E7,4.3010114473570174E-8,0.08221749612084835,27872.0
85,7186299.624144678,1.39153655309128E-7,0.1504592495428812,9802.0
86,7182500.688464413,1.3922725581896736E-7,0.09837772852796277,10173.0
87,1.52783498115046E7,6.545209049965E-8,0.10846160357640229,11499.0
88,2.3250344E7,4.3010114473570174E-8,0.09577481951784936,27872.0
89,8183703.930911912,1.221940439497945E-7,0.14614301262206114,146.0
90,2.3250344E7,4.3010114473570174E-8,0.15997790766807618,27872.0
91,2.3250344E7,4.3010114473570174E-8,0.07691987963926591,27872.0
92,2.161298892426469E7,4.626847111409189E-8,0.1175103278433913,11766.0
93,2.129712712264066E7,4.695468770443818E-8,0.08264247723389676,1434.0
94,2.3293275882456966E7,4.2930842450644515E-8,0.09629623543842869,1394.0
95,6394655.249785353,1.5638057167397647E-7,0.2065433406239401,24541.0
96,6394655.249785353,1.5638057167397647E-7,0.1778180890858244,24541.0
97,6394655.249785353,1.5638057167397647E-7,0.10008463039847879,24541.0
98,2.3250344E7,4.3010114473570174E-8,0.08686668867874478,27872.0
99,6.8879815E7,1.4518041105103997E-8,0.047388461701755424,13110.0
100,2.3250344E7,4.3010114473570174E-8,0.061913435413402995,27872.0
101,2.3250344E7,4.3010114473570174E-8,0.06353908505049029,27872.0
102,2.147608903429108E7,4.656341067686391E-8,0.04794782995099052,9894.0
103,2.3250344E7,4.3010114473570174E-8,0.051382967890130776,27872.0
104,6395171.24978536,1.563679539723989E-7,0.2520283330002608,24427.0
105,6395171.24978536,1.563679539723989E-7,0.07772484527686561,24427.0
106,2.3250344E7,4.3010114473570174E-8,0.09384427425930973,27872.0
107,8146157.8339621555,1.2275724306171143E-7,0.129910474539131,391.0
108,2.1514946086768497E7,4.6479314867336634E-8,0.05260710221572681,345.0
109,2.1519701310715854E7,4.646904430002475E-8,0.06667674448863427,326.0
110,1.1611702898763161E7,8.612000518774136E-8,0.16329254440446564,8582.0
111,1.1611702898763161E7,8.612000518774136E-8,0.08121513702058195,8582.0
112,2.3250344E7,4.3010114473570174E-8,0.07300373832588371,27872.0
113,2.325001866856553E7,4.301071630283475E-8,0.0936162301086261,1982.0
114,2.3250344E7,4.3010114473570174E-8,0.08282658411680976,27872.0
115,2.3250344E7,4.3010114473570174E-8,0.12141166010234077,27872.0
116,2.3250344E7,4.3010114473570174E-8,0.12735318656716735,27872.0
117,2.2418470005422004E7,4.460607504223395E-8,0.11605803933760503,23038.0
118,2.3250344E7,4.3010114473570174E-8,0.0940583085779622,27872.0
119,2.1487166579953603E7,4.653940526497999E-8,0.058429271526847494,334.0
120,2.3250344E7,4.3010114473570174E-8,0.06226689768779301,27872.0
121,4.620087E7,2.1644613583150846E-8,0.0709410437261791,23973.0
122,8121855.7560363915,1.2312455514027282E-7,0.18790950743269696,100.0
123,6586280.0,1.5183075243828802E-7,0.14313762639500263,25093.0
124,2.1730451520799782E7,4.6018369798918264E-8,0.1112933355576108,353.0
125,3.481871822599018E7,2.872018334475546E-8,0.1059756029410052,311.0
126,2.3250344E7,4.3010114473570174E-8,0.06844293752353788,27872.0
127,3.4643278152492374E7,2.8865627748407186E-8,0.09019671867924386,947.0
128,2.1487166579953603E7,4.653940526497999E-8,0.08754426584263178,334.0
129,2.249497789825904E7,4.4454364883951645E-8,0.0862805306982917,229.0
130,4.615698340469625E7,2.1665193532406223E-8,0.09552707949307467,13119.0
131,2.3250344E7,4.3010114473570174E-8,0.13082842682225998,27872.0
132,6701888.005422,1.4921166244188382E-7,0.1477002628990407,25049.0
133,1.633633023742247E7,6.121325440006069E-8,0.05153307004575544,41.0
134,2.3250344E7,4.3010114473570174E-8,0.028853660734749546,27872.0
135,7539491.186625451,1.3263492755837486E-7,0.2086904309972768,24165.0
136,7539491.186625451,1.3263492755837486E-7,0.11837385015549408,24165.0
137,2.1404910460673433E7,4.671824977352831E-8,0.10973525395417073,261.0
138,2.3250344E7,4.3010114473570174E-8,0.07614352118692992,27872.0
139,2.3269365446432434E7,4.2974956035097206E-8,0.08788702704383114,15064.0
140,6010634.9824773,1.6637174550501516E-7,0.09451870787065372,1212.0
141,2.3250344E7,4.3010114473570174E-8,0.13875060124099647,27872.0
142,2.3247159520297423E7,4.3016006153821926E-8,0.10241142205151367,1188.0
143,2.275864235633932E7,4.393935017754274E-8,0.13235072464288458,10026.0
144,2.3250344E7,4.3010114473570174E-8,0.10445619606849679,27872.0
145,6837284.211746182,1.4625687959923626E-7,0.25323928348630653,304.0
146,6837284.211746182,1.4625687959923626E-7,0.19429304171149636,304.0
147,5164508.75395275,1.9362922090226127E-7,0.10227962119912627,325.0
148,2.1432133596206997E7,4.665890816946332E-8,0.09271342064178852,290.0
149,2.32323122664158E7,4.304349672512299E-8,0.05838606236710205,23018.0
150,2.3250344E7,4.3010114473570174E-8,0.07426319688262037,27872.0
151,2.3250344E7,4.3010114473570174E-8,0.06469151588785056,27872.0
152,2.325050044493933E7,4.300982507272584E-8,0.06158400209920334,27860.0
153,3.1476542399910193E7,3.1769689171233874E-8,0.05632357170354534,210.0
154,2.146269097912035E7,4.659247782024895E-8,0.09319381801496435,35.0
155,4761596.0,2.1001357317723445E-7,0.2775891439030588,25062.0
156,4761596.0,2.1001357317723445E-7,0.08403680501648263,25062.0
157,2.3250344E7,4.3010114473570174E-8,0.09472179169032408,27872.0
158,2.31510288671548E7,4.3194622690143734E-8,0.0666026304431526,1113.0
159,2.1459588612773106E7,4.659921359375779E-8,0.08712569901430678,318.0
160,1.103492257024125E7,9.062137980699558E-8,0.1852741637811148,157.0
161,1.1019797595606131E7,9.074576012657118E-8,0.08066932211549813,2078.0
162,2.193106751408748E7,4.559741352126311E-8,0.06505591226525963,315.0
163,2.2418470005422004E7,4.460607504223395E-8,0.10356931365639557,23038.0
164,2.3250344E7,4.3010114473570174E-8,0.08562806655534348,27872.0
165,2.3250344E7,4.3010114473570174E-8,0.07439750889640581,27872.0
166,1.1000563294060074E7,9.090442756104481E-8,0.150359047382437,838.0
167,1.1000464563192872E7,9.090524344223765E-8,0.10601661989477111,966.0
168,4.620087E7,2.1644613583150846E-8,0.04867232553592862,23973.0
169,1.2278157162929747E7,8.144544049116448E-8,0.07824677913591539,1234.0
170,2.3250344E7,4.3010114473570174E-8,0.08961848171802067,27872.0
171,8145918.806375698,1.2276084515554817E-7,0.19499441938878714,20485.0
172,8145918.806375698,1.2276084515554817E-7,0.2501193908074947,20485.0
173,8145918.806375698,1.2276084515554817E-7,0.15654964215826853,20485.0
174,8145918.806375698,1.2276084515554817E-7,0.15944896427970295,20485.0
175,8145918.806375698,1.2276084515554817E-7,0.06266376350990384,20485.0
176,2.3250344E7,4.3010114473570174E-8,0.10114252490291817,27872.0
177,2.3250344E7,4.3010114473570174E-8,0.16415517754325176,27872.0
178,2.3241337168050345E7,4.302678239821366E-8,0.07625857051577842,9835.0
179,2.143463256193734E7,4.665346842111428E-8,0.0627709266954991,176.0
180,2.103046118967358E7,4.7550072413102834E-8,0.04899871026439168,220.0
181,1.7744195150463603E7,5.6356455458472426E-8,0.053619532814885795,1077.0
182,2.2982387E7,4.351157938853004E-8,0.02967346086889334,23059.0
183,2.3250344E7,4.3010114473570174E-8,0.06850590912570362,27872.0
184,2.1459588612773106E7,4.659921359375779E-8,0.07350886745740436,318.0
185,1.2284317809513848E7,8.140459520030765E-8,0.09547591793624258,21161.0
186,2.3250344E7,4.3010114473570174E-8,0.1516808884295611,27872.0
187,7921671.293691674,1.262359717652468E-7,0.10945198887096724,9593.0
188,2.324763863696143E7,4.3015119625740395E-8,0.1361674150508966,1440.0
189,1.627882910580371E7,6.14294757977406E-8,0.048559870268835924,10763.0
190,2.34376270796517E7,4.2666433506050446E-8,0.09472880003458094,2467.0
191,2.3250344E7,4.3010114473570174E-8,0.10275246583284833,27872.0
192,2.3250344E7,4.3010114473570174E-8,0.09273269348486851,27872.0
193,2.3250344E7,4.3010114473570174E-8,0.09128873371340182,27872.0
194,2.807525293194719E7,3.5618555843660145E-8,0.12342749349659755,526.0
195,2.3250344E7,4.3010114473570174E-8,0.05709499509518317,27872.0
196,2.3250256603038006E7,4.301027614719136E-8,0.07083146127660672,1407.0
197,7537196.186625442,1.326753135468545E-7,0.20735090469829912,24443.0
198,7537196.186625442,1.326753135468545E-7,0.11871888767005503,24443.0
199,6394972.249785347,1.5637281986028102E-7,0.18322985727765037,24487.0
200,6394972.249785347,1.5637281986028102E-7,0.1221522249938776,24487.0
201,2.3250344E7,4.3010114473570174E-8,0.07262311861498665,27872.0
202,7193881.564888665,1.3900699531581473E-7,0.20862169479985232,3318.0
203,6488756.1502851,1.541127178655565E-7,0.06564924098039174,9818.0
204,2.3250344E7,4.3010114473570174E-8,0.07449820137182481,27872.0
205,1.5556647916046193E7,6.428119612370576E-8,0.11997514745731357,12238.0
206,1.0535222055245731E7,9.4919679892499E-8,0.2238085261733326,10818.0
207,1.0535222055245731E7,9.4919679892499E-8,0.11347667651894419,10818.0
208,3.727421592691402E7,2.682819606809621E-8,0.06279701476394547,763.0
209,2.0681250853695374E7,4.835297239617135E-8,0.07776486904087423,125.0
210,2.3250344E7,4.3010114473570174E-8,0.06982314272337345,27872.0
211,2.1404910460673433E7,4.671824977352831E-8,0.08041688986821581,261.0
212,2.1331230871448684E7,4.6879617924854815E-8,0.0801309816301429,231.0
213,2.3250344E7,4.3010114473570174E-8,0.08564453243102328,27872.0
214,2.325035E7,4.301010337435336E-8,0.07647276547216846,27872.0
215,2.3250344E7,4.3010114473570174E-8,0.08323493366708702,27872.0
216,7539960.186625458,1.3262667741232156E-7,0.19474686999246676,23891.0
217,7539960.186625458,1.3262667741232156E-7,0.13143797378001057,23891.0
218,2.3250344E7,4.3010114473570174E-8,0.06896284042566168,27872.0
219,2.07895879993838E7,4.810099901588434E-8,0.1310096916559877,301.0
220,6701888.005422,1.4921166244188382E-7,0.21976237697782783,25049.0
221,6701888.005422,1.4921166244188382E-7,0.12908593480663583,25049.0
222,2.3250344E7,4.3010114473570174E-8,0.09551502073106005,27872.0
223,6586280.0,1.5183075243828802E-7,0.23892589907092007,25093.0
224,6586280.0,1.5183075243828802E-7,0.16710337589455243,25093.0
225,6586280.0,1.5183075243828802E-7,0.11720438377992828,25093.0
226,4.620087E7,2.1644613583150846E-8,0.03595177256825925,23973.0
227,4.6174506573574044E7,2.1656971618086212E-8,0.041858455806991074,503.0
228,7191059.370353223,1.390615498268832E-7,0.1570209938982458,8414.0
229,7190245.714787225,1.3907728617203536E-7,0.13278989711637607,15171.0
230,9977223.176982984,1.0022827815245004E-7,0.22360674496819288,184.0
231,9927364.01034313,1.0073166433974365E-7,0.07609612587751184,187.0
232,9270690.99730711,1.0786681299416196E-7,0.19510619753347516,295.0
233,9270690.99730711,1.0786681299416196E-7,0.08753516582847876,295.0
234,2.1507422633371245E7,4.649557367012499E-8,0.061434129057195835,325.0
