Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio
4,300,0.8408998204911238
0,2.1432133596206997E7,4.665890816946332E-8,0.12428064220421092,290.0
1,8182449.993586276,1.2221276983923754E-7,0.2064176197145624,9389.0
2,4761596.0,2.1001357317723445E-7,0.13350940515859888,25062.0
3,2.3250344E7,4.3010114473570174E-8,0.06947678814778833,27872.0
4,5983610.433509611,1.6712315148001894E-7,0.3696032153439191,22322.0
5,5983610.433509611,1.6712315148001894E-7,0.08690761190843671,22322.0
6,6586280.0,1.5183075243828802E-7,0.19841872268264663,25093.0
7,6586280.0,1.5183075243828802E-7,0.1342994185241777,25093.0
8,2.2209255251468617E7,4.5026271419326505E-8,0.05914852180798662,1132.0
9,6586280.0,1.5183075243828802E-7,0.1792270194991206,25093.0
10,6586280.0,1.5183075243828802E-7,0.14816033612262652,25093.0
11,2.4585318E7,4.0674680690537306E-8,0.1077073115269147,22940.0
12,2.3250344E7,4.3010114473570174E-8,0.06662544572032927,27872.0
13,1.2284432809513848E7,8.140383313600797E-8,0.14506786636297864,21239.0
14,2.3250344E7,4.3010114473570174E-8,0.07275204712453984,27872.0
15,2.1539803265470725E7,4.642567721021704E-8,0.0587822763791258,197.0
16,2.1459588612773106E7,4.659921359375779E-8,0.0538957785141668,318.0
17,2.3250344E7,4.3010114473570174E-8,0.09866052453298958,27872.0
18,2.3250344E7,4.3010114473570174E-8,0.09227713320080051,27872.0
19,2.3250344E7,4.3010114473570174E-8,0.09120981451242262,27872.0
20,2.325964427601472E7,4.299291705154236E-8,0.09329790259510963,17918.0
21,2.3250344E7,4.3010114473570174E-8,0.06998666582075443,27872.0
22,2.3250344E7,4.3010114473570174E-8,0.07838077319656318,27872.0
23,2.3125895399789624E7,4.324156706025445E-8,0.06891040492409259,353.0
24,4.620087E7,2.1644613583150846E-8,0.07081792099209748,23973.0
25,2.3250344E7,4.3010114473570174E-8,0.06655472469807788,27872.0
26,2.3089654810668442E7,4.330943727354982E-8,0.04946127892968838,11188.0
27,9449272.005422,1.058282472552332E-7,0.12541274213712295,12865.0
28,2.3214200378331304E7,4.3077079573085126E-8,0.057874040863414064,10615.0
29,2.3250344E7,4.3010114473570174E-8,0.07588281221954923,27872.0
30,2.0296102323792003E7,4.9270541445645634E-8,0.09592443025939335,15080.0
31,2.3250344E7,4.3010114473570174E-8,0.08829827116626807,27872.0
32,2.3250344E7,4.3010114473570174E-8,0.10929866625375134,27872.0
33,2.3250344E7,4.3010114473570174E-8,0.11031225302571998,27872.0
34,2.3250344E7,4.3010114473570174E-8,0.09564877182176852,27872.0
35,2.324850573704311E7,4.301351528985067E-8,0.06020133313746908,1650.0
36,5984187.0,1.6710704944430222E-7,0.180086121957757,25126.0
37,5984187.0,1.6710704944430222E-7,0.16094317568689787,25126.0
38,5984187.0,1.6710704944430222E-7,0.09318059907315025,25126.0
39,2.4860164714550916E7,4.022499332796842E-8,0.10096745742154388,11385.0
40,2.3250344E7,4.3010114473570174E-8,0.06512486181348477,27872.0
41,2.3250344E7,4.3010114473570174E-8,0.07874279142246367,27872.0
42,2.193458418089876E7,4.5590103106706004E-8,0.08434713109368522,9954.0
43,2.3250694E7,4.300946702883505E-8,0.08967570824568416,2473.0
44,2.3250344E7,4.3010114473570174E-8,0.06117317348334866,27872.0
45,2.3250344E7,4.3010114473570174E-8,0.09699193431312222,27872.0
46,2.3250344E7,4.3010114473570174E-8,0.10599001246358963,27872.0
47,2.3250344E7,4.3010114473570174E-8,0.08608824726257824,27872.0
48,6405390.685161994,1.5611847786240565E-7,0.17221151652315553,11009.0
49,6404854.800299663,1.5613154006577527E-7,0.13642513767091835,11024.0
50,2.151261634556272E7,4.6484348414548644E-8,0.06721506264362624,160.0
