Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio
2,150,0.6173936317659647
0,2.1514662757836264E7,4.647992695845739E-8,0.3246303397986794,356.0
1,1.226886310165204E7,8.150713804592122E-8,0.10987939513654468,21308.0
2,1.0509278207439069E7,9.515400440518726E-8,0.3030221377363419,6066.0
3,1.198594624444453E7,8.343103632994035E-8,0.2005006143552741,539.0
4,6404237.249785356,1.5614659558199852E-7,0.13340652277079598,15288.0
5,2.3250344E7,4.3010114473570174E-8,0.11330487492564524,27872.0
6,6435475.164558088,1.5538865725387517E-7,0.31760936153796326,199.0
7,6435475.164558088,1.5538865725387517E-7,0.3259989888114721,199.0
8,5075024.763105988,1.9704333468998705E-7,0.13637284637948083,175.0
9,5053736.917205271,1.9787333977006118E-7,0.2944752436748381,24499.0
10,5053736.917205271,1.9787333977006118E-7,0.4271166439760653,24499.0
11,5053736.917205271,1.9787333977006118E-7,0.19738389648439159,24499.0
12,5053736.917205271,1.9787333977006118E-7,0.15274937189763052,24499.0
13,5053736.917205271,1.9787333977006118E-7,0.1921537718243921,24499.0
14,5053736.917205271,1.9787333977006118E-7,0.12746791592008527,24499.0
15,1.2293471809513837E7,8.134397948365791E-8,0.21782303343938123,12193.0
16,1.2284317809513848E7,8.140459520030765E-8,0.10868299469320232,21161.0
17,2.1156636422883E7,4.726649041678055E-8,0.07130326100602083,45.0
18,2.1514662757836264E7,4.647992695845739E-8,0.21207943410652658,356.0
19,2.1514662757836264E7,4.647992695845739E-8,0.11187417408365201,356.0
20,4.619672854783753E7,2.1646553983101384E-8,0.14778423326106677,2101.0
21,2.3250344E7,4.3010114473570174E-8,0.15763341157886349,27872.0
22,2.3250344E7,4.3010114473570174E-8,0.07968470917705522,27872.0
23,2.3250344E7,4.3010114473570174E-8,0.24709702018388494,27872.0
24,2.3250344E7,4.3010114473570174E-8,0.15442846175042202,27872.0
25,2.3250344E7,4.3010114473570174E-8,0.08401999132682679,27872.0
26,1.0995126005422E7,9.094938144023916E-8,0.1955089833495817,21983.0
27,1.0995126005422E7,9.094938144023916E-8,0.21895960646451568,21983.0
28,1.0995126005422E7,9.094938144023916E-8,0.1420018254205114,21983.0
29,6.8871195E7,1.4519858200226406E-8,0.09940478979793115,22030.0
30,6518934.467436524,1.5339927891527899E-7,0.30543444722185265,11374.0
31,5993153.553812226,1.6685703514251993E-7,0.3531997143998319,10644.0
32,5993153.553812226,1.6685703514251993E-7,0.35522377688651746,10644.0
33,5984908.97302066,1.6708689094871837E-7,0.1211508647680221,13127.0
34,7957446.028023567,1.2566844573119016E-7,0.14511589076437176,18243.0
35,3.4771060111273855E7,2.875954797007242E-8,0.13989522314503533,7503.0
36,2.459074384461572E7,4.066570599299905E-8,0.224819135380378,22916.0
37,2.183834791371121E7,4.5791007550582263E-8,0.0490064727211682,11614.0
38,2.185601254573686E7,4.5753997997272276E-8,0.09805309791142444,11787.0
39,6.8871222E7,1.4519852507919018E-8,0.08103815259218802,22030.0
40,2.3250344E7,4.3010114473570174E-8,0.2544439003823984,27872.0
41,2.3250344E7,4.3010114473570174E-8,0.10697768079005858,27872.0
42,5.763254673963131E7,1.7351306496421727E-8,0.12296779660875151,933.0
43,2.3250344E7,4.3010114473570174E-8,0.13559487700232656,27872.0
44,6.8871195E7,1.4519858200226406E-8,0.15331593184602893,22030.0
45,2.14598105457988E7,4.659873167412649E-8,0.2393789060769512,289.0
46,2.3250344E7,4.3010114473570174E-8,0.12811512605561157,27872.0
47,2.3250344E7,4.3010114473570174E-8,0.1387341787572729,27872.0
48,8.8664818502527E7,1.1278430448634696E-8,0.13786596604949033,594.0
49,2.3303890885619313E7,4.291128730377838E-8,0.0989154259903117,171.0
50,2.3250344E7,4.3010114473570174E-8,0.1769795377624337,27872.0
51,2.3250344E7,4.3010114473570174E-8,0.11665997986595933,27872.0
52,1.2293471809513837E7,8.134397948365791E-8,0.2558319505674453,12193.0
53,5054158.843061699,1.9785682112384914E-7,0.16071515356745786,24123.0
54,5054158.843061699,1.9785682112384914E-7,0.5596221868633237,24123.0
55,5054158.843061699,1.9785682112384914E-7,0.22801969428638488,24123.0
56,5054158.843061699,1.9785682112384914E-7,0.4736456222726192,24123.0
57,5054158.843061699,1.9785682112384914E-7,0.4018853391359106,24123.0
58,5054158.843061699,1.9785682112384914E-7,0.27009014983149787,24123.0
59,5054158.843061699,1.9785682112384914E-7,0.15173500788471006,24123.0
60,5054158.843061699,1.9785682112384914E-7,0.16332275704122656,24123.0
61,5054158.843061699,1.9785682112384914E-7,0.1445797278556153,24123.0
62,2.3250344E7,4.3010114473570174E-8,0.1429114191927365,27872.0
63,6.490685191950087E7,1.5406693669776677E-8,0.24332334027202054,537.0
64,2.0836730499604538E7,4.7992171901767755E-8,0.16615978698745582,309.0
65,2.0836730499604538E7,4.7992171901767755E-8,0.11095348541752544,309.0
66,2.3250344E7,4.3010114473570174E-8,0.1815289209943175,27872.0
67,2.3250344E7,4.3010114473570174E-8,0.06837809062494332,27872.0
68,2.3389165412811026E7,4.275483710493704E-8,0.1006795851568459,9.0
69,6036300.129658004,1.6566436606131618E-7,0.1949499671508222,9953.0
70,5997514.81973877,1.6673570025590302E-7,0.07100731029420744,9783.0
71,2.351900924439694E7,4.251879605512887E-8,0.28628749002250603,20350.0
72,1.487181477766452E7,6.724128478661405E-8,0.18396918317759012,12571.0
73,1.487181477766452E7,6.724128478661405E-8,0.203080041602669,12571.0
74,1.4122848276542064E7,7.080724154303564E-8,0.12784904142144962,2655.0
75,7564942.230289855,1.3218869852136147E-7,0.29411354074207985,1490.0
76,7564942.230289855,1.3218869852136147E-7,0.19277070516541533,1490.0
