Gen;Best MSE
5;1266713.6757352713
10;1266713.6757352713
15;1266713.6757352713
20;1266711.671562307
25;1266711.671562307
30;1266711.671562307
35;578283.1786787936
40;578283.1786787936
45;578283.1786787936
50;578283.1786787936
55;578283.1786787936
60;578283.1786787936
65;577940.9182078204
70;577643.0452358131
75;576464.3557995396
80;576347.0459690272
85;573114.4553125275
90;570301.3798911379
95;567574.2496337815
100;567373.0279217768
105;567373.0279217768
110;567373.0279217768
115;567120.5180332386
120;563101.9178008357
125;563101.9178008357
130;563085.7132003739
135;563085.7132003739
140;562664.1344449153
145;562378.3697982827
150;562368.9948422329
155;562081.7465018445
160;561859.6010645647
165;561044.7377783763
170;561044.7377783763
175;560141.5471944748
180;560141.5471944748
185;560078.90962106
190;560078.90962106
195;559962.4404418631
200;559485.6797930513
205;557190.1178650988
210;555913.543319137
215;555706.4094242173
220;555913.543319137
225;555859.2371860085
230;555859.2371860085
235;555844.2031841842
240;555844.2031841842
245;555508.1792686107
250;555479.135043372
255;555074.3304530995
260;554968.5125078834
265;554785.4474615752
270;554755.939541666
275;554755.8416241829
280;554491.1993137029
285;554327.6270040921
290;554327.6270040921
295;554327.6270040921
300;554318.289291996
305;554307.6581631751
310;554284.7479427843
315;554275.1845671745
320;554276.387078719
325;554161.6402560741
330;554159.9150724955
335;554159.559070955
340;554122.1321262618
345;554069.8043443284
350;553192.9377187792
355;553192.9377187792
360;553168.0693927886
365;553168.0693927886
370;553089.2656918765
375;553089.2656918765
380;553046.3290911238
385;553058.3354812514
390;553031.9365450693
395;553053.3224544653
400;553053.3224544653
