Gen;Best MSE
5;8745391.078417279
10;2650401.047034678
15;2584940.9055376356
20;1039268.2149297934
25;1038752.3515473427
30;1038479.5221818741
35;1038409.0095890905
40;1035233.8346493217
45;1034795.2680940235
50;1034780.3281459309
55;1034539.0845107957
60;1034078.5608032866
65;1034078.5608032866
70;1032509.1290457107
75;1023834.7694246351
80;1020593.4864849081
85;1020577.3395319527
90;1020193.2012809278
95;1019554.8717478276
100;1019554.8369684244
105;1016816.2230142204
110;1016816.2230142204
115;862905.9347435067
120;862905.9347435067
125;862905.9347435067
130;514238.0916073099
135;514238.0916073099
140;514238.0916073099
145;514238.0916073099
150;514229.9681092165
155;514229.9681092165
160;514218.49603690626
165;514206.2972093828
170;511508.41961786425
175;511508.41961786425
180;510974.14341861935
185;510974.14341861935
190;510770.01684507984
195;510708.05947504565
200;510703.5851208567
205;510653.9686344768
210;510590.4333598928
215;510578.3862258076
220;510547.7109275141
225;510447.3279716241
230;510447.3279716241
235;510344.2906535899
240;510295.28399175685
245;510284.8965286516
250;510252.85988621856
255;510222.8791596529
260;510222.3697040536
265;510222.3697040536
270;510159.7605848078
275;510143.5631175807
280;509957.0760004157
285;509893.2780655687
290;509885.4763163147
295;508165.00160448154
300;508165.00160448154
305;507984.5066660919
310;507734.13725451194
315;506996.24334956263
320;506733.7528012724
325;506137.37677146104
330;506131.147494322
335;504001.0657259509
340;503432.5256439243
345;503293.00744065194
350;503215.22874743794
355;498146.8915305261
360;498054.5822294375
365;497674.46960001055
370;497096.5271772395
375;496863.7297767109
380;496155.21933395887
385;493423.9108145442
390;492817.0684573501
395;492238.25623539207
400;491950.2735865523
