Gen;Best MSE
5;4186161.4814753816
10;4022199.510964705
15;3898478.1885533393
20;3854526.6523395735
25;3845229.589538587
30;3840735.301146104
35;1659292.025377868
40;1588405.8779792252
45;1588405.8779792252
50;1572156.5825890212
55;1420639.842163348
60;1420274.2848453263
65;1399056.3621783014
70;1399056.3621783014
75;1398848.635090937
80;1374982.1095563085
85;1369730.3411550152
90;1031335.9515757288
95;1028344.9833201085
100;1026822.0883927466
105;1026703.8533848986
110;1024869.5875707262
115;1023142.5277354735
120;1022405.8198738941
125;1022133.6723990618
130;1022133.6723990618
135;1022130.7990653794
140;1021428.7257812073
145;1021454.8952835714
150;1021313.5500732932
155;1021313.8472770532
160;1021313.8472770532
165;1021247.5402569006
170;1021247.5402569006
175;1020820.0344280014
180;1020775.9249051345
185;1020285.4953189796
190;1014224.5128449337
195;1014138.4332966704
200;1013688.7753364611
205;1011919.2313659007
210;1011902.8769208377
215;976341.9929240188
220;1009986.0473760155
225;1009674.2025781786
230;1009579.2461563174
235;1009405.000590142
240;1009371.6049235667
245;1008969.8177818293
250;1008647.9047138189
255;1008611.2937065669
260;1005461.8195227218
265;907048.4373239127
270;902649.3606051912
275;902649.3589609573
280;889288.2906237287
285;889288.2906237287
290;889288.2906237287
295;888904.503587584
300;888904.503587584
305;888904.503587584
310;888904.5018862468
315;888904.499136491
320;888529.3918617447
325;885217.0514692902
330;885217.0514692902
335;881388.1737774548
340;881388.1737774548
345;880864.5377137061
350;880805.5521448994
355;880685.6852954355
360;880379.8732473702
365;880356.8605678648
370;880121.8197813577
375;880121.819827163
380;880117.0566435676
385;880043.5093472722
390;879970.9839551682
395;879924.2027637592
400;879924.2027637592
