Gen;Best MSE
5;9430618.97372264
10;976342.2537701249
15;976342.2537701249
20;976342.2537701249
25;976342.2537701249
30;976342.2537701249
35;976342.2537701249
40;976342.2537701249
45;578283.4110516257
50;578283.4110516257
55;578278.6948584941
60;578278.6948584941
65;578278.6948584941
70;578278.6948584941
75;578278.6948584941
80;578278.6948584941
85;578278.6948584941
90;578133.8548127513
95;577952.7486198148
100;577952.7486198148
105;577775.0285396292
110;574918.508123539
115;573457.3109978158
120;568350.620408013
125;568336.6978378334
130;568336.6978378334
135;567878.2286150868
140;567878.2286150868
145;567878.2286150868
150;567588.4580023001
155;567588.4580023001
160;567360.9418778867
165;567361.3969177083
170;561876.9642777914
175;560145.1304579686
180;559781.5920401915
185;558021.1666366734
190;557929.0182322287
195;557919.0158838909
200;557941.5332912842
205;557514.3914823887
210;557007.0471592889
215;555000.4099400465
220;548022.0316012406
225;547899.3254316521
230;546825.9221872796
235;545729.4244169208
240;545729.4244169208
245;544307.343398256
250;540119.9730356477
255;537034.8760134298
260;536609.7273295979
265;535290.6790166296
270;535290.6790166296
275;530052.2744391261
280;527389.4556951303
285;526599.1162682177
290;526025.5367667181
295;525281.014081639
300;524112.45594593324
305;523048.86831581674
310;523067.61425589427
315;521377.96713486785
320;521413.58360191545
325;521020.133948207
330;521012.384687101
335;520800.8686337725
340;520229.41972349974
345;518153.36840620916
350;517979.03185244626
355;517721.0792025004
360;517461.3664028986
365;515652.1194890572
370;514717.25531993987
375;514327.8720515417
380;512325.02644957876
385;511895.4766294676
390;511900.3639089533
395;511376.3559285988
400;510463.27638023923
