Gen;Best MSE
5;1.0121272730250377E7
10;1.0121272730250377E7
15;9406524.448307222
20;1039301.9346334132
25;1039301.9346334132
30;1039301.9346334132
35;1039301.9346334132
40;1039301.9346334132
45;1039301.9346334132
50;881018.5997491103
55;880948.5857189634
60;869568.9840306675
65;861192.6635640042
70;860795.7068851234
75;860795.7068851234
80;858803.0705129174
85;858132.1173705428
90;857085.4047515076
95;857085.4041318721
100;855267.70642218
105;855265.5412230154
110;853915.1676259452
115;848696.3444420053
120;848686.16151635
125;848686.16151635
130;847736.1562068992
135;847736.536277853
140;847425.217511073
145;844784.6995748453
150;843254.9427852482
155;840797.0062519214
160;840801.3413641083
165;840378.6231675135
170;840111.3491280463
175;825541.9475291555
180;825387.3722941393
185;824560.6333233286
190;820762.832776738
195;816959.1278113496
200;801610.6189383578
205;794411.9722928436
210;788796.5567679809
215;787820.7370216817
220;783284.5268146883
225;779099.5579927661
230;774996.7541973222
235;773380.8625186931
240;771051.7540947376
245;763921.0652831962
250;763275.8168694186
255;762268.0504617457
260;761075.3202739058
265;759622.7021485764
270;758172.6270780413
275;757084.9195047682
280;756386.8024657175
285;754404.2203873155
290;749721.3722238377
295;746246.9303273408
300;743553.8811532112
305;740500.7355109858
310;739045.877940688
315;736911.6683322839
320;736329.1924831462
325;736030.9766718352
330;734671.6057159378
335;731698.5752801902
340;730481.3737483615
345;729434.2959652661
350;728704.0341319577
355;721184.2481379044
360;719217.0062426552
365;717281.6356332083
370;713687.706296454
375;712256.6268402893
380;711889.2673734468
385;711389.2032277257
390;711173.8642436314
395;710396.3264632279
400;710301.4619031028
