Gen;Best MSE
5;578283.2549252858
10;578283.2549252858
15;578249.0358281881
20;578249.0358281881
25;578249.0358281881
30;577621.1707244234
35;575328.9539274744
40;572027.7944493545
45;572027.7944493545
50;571029.8086330638
55;569930.7377219837
60;569930.7377219837
65;567826.6102542632
70;567826.6102542632
75;566238.484345313
80;566238.484345313
85;566238.484345313
90;564371.2031602842
95;564371.2031602842
100;564071.0577545334
105;563036.6826760791
110;563036.6826760791
115;562640.4632656301
120;559602.1133983263
125;559596.1675590648
130;559419.6668704563
135;559094.473461999
140;558794.9206395189
145;556884.848206741
150;558663.3494766384
155;558419.1797078669
160;558346.2936136326
165;557313.8380663233
170;557010.6706097632
175;556907.5020109583
180;556907.5020109583
185;556060.7438613108
190;555373.6260421384
195;554735.1430210196
200;554721.8904173448
205;554675.9216506449
210;553538.8249745159
215;552939.4859016377
220;552275.1703272517
225;550522.7533209679
230;543510.8812124991
235;543010.6906140554
240;541585.7239007517
245;538805.9673241798
250;536484.4852843549
255;536484.4852843549
260;535573.3749837442
265;532803.06318992
270;531926.8420722312
275;531452.8445912857
280;530833.9035488737
285;530145.6594578504
290;530123.5391524466
295;529851.2174569885
300;529553.7364275762
305;529091.4797537802
310;528926.0184757677
315;528503.0138905789
320;528407.5314721651
325;527930.3765899155
330;526601.3787208326
335;521367.0985071658
340;518839.24562306533
345;516227.12236037134
350;514860.50366287195
355;514880.2011113511
360;514580.3854399484
365;514272.9793047496
370;514143.28373078356
375;514056.58689735417
380;513695.0490671047
385;512720.22662332846
390;512665.7695235863
395;512591.3251742865
400;512591.3251742865
