Gen;Best MSE
5;1202492.0077321958
10;862905.9347435067
15;862905.9347435067
20;573398.8261254174
25;514116.0155340473
30;514001.7913492052
35;513861.6667188252
40;510071.0975298197
45;506051.5425074002
50;502097.5987326487
55;468147.4688553409
60;467222.8871745859
65;466458.9920428928
70;465689.7343796823
75;465429.13749580446
80;462670.98353597487
85;462402.0649048821
90;462348.7087947977
95;462346.07792249054
100;462069.7737399937
105;460273.8981388206
110;460273.95007159095
115;457249.18396607897
120;457215.49253023526
125;456950.6737608164
130;456950.6737608164
135;456828.60313240386
140;456813.94554163323
145;456828.4591021464
150;455533.09552909806
155;455533.09552909806
160;454998.0779862576
165;454997.79527992604
170;454997.79527992604
175;454716.5213579435
180;454716.5239498978
185;454496.0725073487
190;454496.0725073487
195;454334.5538877185
200;453740.8838845033
205;453740.8838845033
210;453739.3177723838
215;453739.3177723838
220;453739.3177723838
225;453739.3177723838
230;453690.39545211615
235;453690.3954485528
240;453690.3954485528
245;453681.7817633718
250;453674.4621274181
255;453674.4621274181
260;453608.2002218676
265;453507.01145547035
270;453506.9795508952
275;453506.9795508952
280;453118.7348852064
285;453118.7348852064
290;453118.7348852064
295;453118.7348852064
300;453118.72873898636
305;453091.95697337907
310;453085.46339756297
315;453035.70686632534
320;453035.7068506855
325;453043.6699745071
330;452998.84577722277
335;452687.79928794154
340;452395.62240634084
345;452395.6936827098
350;452297.9023370278
355;452123.89574677945
360;451889.8170546638
365;451652.54764399625
370;451649.64423325995
375;451588.29892866017
380;451587.304519197
385;451587.5121424696
390;451584.0409880944
395;451583.7355772085
400;451586.58160235494
