Gen;Best MSE
5;3542431.13388385
10;2742591.8257333892
15;1202828.401327922
20;939633.9868613455
25;897912.3423701539
30;896575.7487993636
35;896575.7487993636
40;894938.7986425771
45;894938.7986425771
50;894085.7312473038
55;892996.9201856848
60;892858.7804056094
65;889031.6032979969
70;889026.319744853
75;879412.3576355166
80;879412.3576355166
85;877764.2593047643
90;877764.2593047643
95;877764.6229335134
100;877103.974486806
105;877101.3781742286
110;873432.3995453833
115;871371.8567166433
120;869939.2794135917
125;869642.6525859789
130;869333.4768984469
135;868904.7082829842
140;868311.6107101734
145;868252.7919627108
150;867825.3952710455
155;867140.9522979866
160;865720.5256694356
165;864853.6655953634
170;864526.4870228295
175;864510.1494860065
180;864285.7126334634
185;830319.1167910883
190;823510.106454207
195;808895.8654016772
200;802628.4149823056
205;792681.780506524
210;779836.8561549397
215;776572.5017750332
220;776273.8108941183
225;773618.1088218638
230;772559.4938807279
235;764481.3146122672
240;762757.4433553966
245;761756.675207131
250;743703.9328792141
255;742271.6547972795
260;740128.2930977076
265;728352.4816342539
270;716294.5981713078
275;716295.1621076579
280;715476.2975451992
285;710773.5413760473
290;709874.2240096572
295;709285.0722349823
300;708558.4898283768
305;708125.5255427334
310;707329.1962105882
315;706669.2513423412
320;704524.9606939823
325;702928.4637434611
330;696433.7418777249
335;696433.7418777249
340;695711.1337711224
345;694765.734812571
350;694765.177998474
355;694608.21019143
360;694135.8197113912
365;693791.6689466122
370;693041.8229713944
375;692713.6112544806
380;692712.9392422391
385;687796.5835405755
390;679204.6712856963
395;678618.5560800068
400;678312.3905546445
