Gen;Normalized Fitness
5;0.02511544245490013
10;0.01593383415127874
15;0.018767596544258233
20;0.019155292948101827
25;0.011474272990309226
30;0.019375682369504117
35;0.015109395268688618
40;0.013939159605005429
45;0.012269192982818073
50;0.012337424388560874
55;0.01384498744607452
60;0.013133605781375107
65;0.013672613280620293
70;0.015377668777916796
75;0.012180496873805765
80;0.012285168256229816
85;0.012985973062589853
90;0.009250377732494541
95;0.008989323295446043
100;0.008784116701353331
105;0.010506023610185492
110;0.009491740266855127
115;0.008923491497336468
120;0.008895365024382443
125;0.011004665011514286
130;0.009881161126577451
135;0.009204871249824735
140;0.009498480395109317
145;0.011770514914206628
150;0.009750526106434008
155;0.009507845865008094
160;0.010684954513892219
165;0.012041390197062404
170;0.011174057093705898
175;0.012570186391073438
180;0.010488148313374879
185;0.01169125566258925
190;0.01177805005982778
195;0.011097294477684816
200;0.014875288456673168
205;0.016368991321637275
210;0.017151491811012925
215;0.015711552294676127
220;0.022417136189578253
225;0.01794576233652919
230;0.022232094208981243
235;0.018553037968295234
240;0.02158610841427998
245;0.02080039353991412
250;0.019135949430712843
255;0.018888595801416257
260;0.020845633147834906
265;0.024977501658427936
270;0.024382814354481603
275;0.021842903466153828
280;0.016717589193136224
285;0.009506177656397307
290;0.009280246893339937
295;0.010750456193894435
300;0.009025107667559101
305;0.007915107602643424
310;0.008478848379145103
315;0.009480597589146727
320;0.008776471881106833
325;0.008777213808418886
330;0.008623458797000863
335;0.009298404853936763
340;0.008418492982635336
345;0.008595604877547921
350;0.010122175158570884
355;0.008615451057060696
360;0.009945397601269071
365;0.008814903284196126
370;0.0087517610470643
375;0.00920245622418465
380;0.008944286837274372
385;0.012145372813586157
390;0.010193741651209605
395;0.010013754649686736
400;0.008817787774281976
