Gen;Normalized Fitness
5;0.028492853160952614
10;0.01700564734050081
15;0.013690985930900179
20;0.011079352129545809
25;0.012354606635830762
30;0.011587808231353462
35;0.019515728623854457
40;0.012031612646922919
45;0.01073325070102683
50;0.01052007140394935
55;0.012100575819717472
60;0.008891338885486032
65;0.008897520933246186
70;0.008435834263662541
75;0.008626683090838189
80;0.008421579401372524
85;0.007598316434023511
90;0.010613570254958758
95;0.010880819551342354
100;0.009427016657328818
105;0.009998517324570327
110;0.009633778629480044
115;0.008767035644652222
120;0.010628057081117677
125;0.008473689389923031
130;0.00788809208298366
135;0.008945918852610799
140;0.007704741958621321
145;0.008146650662062601
150;0.0079593168616208
155;0.007877079662271386
160;0.00919440467554635
165;0.009709054925057843
170;0.00927950346690597
175;0.008432429645446207
180;0.008335082565555065
185;0.008152018572163655
190;0.008511527191971935
195;0.01000916633333143
200;0.009639208820505275
205;0.007835259483319717
210;0.007061197681673963
215;0.007697147416703127
220;0.010519959877252957
225;0.00927183407381831
230;0.007668468936559382
235;0.007972173492806616
240;0.008226649110158028
245;0.007924636097544818
250;0.007984155181130126
255;0.008287592061458295
260;0.007995175562620435
265;0.009881859990467753
270;0.009065880846984967
275;0.008658176859385558
280;0.0091469979930774
285;0.012247799943586551
290;0.009033353875980388
295;0.007710606198338681
300;0.009575852268926868
305;0.009829427217701879
310;0.008637950767696398
315;0.009177096215536003
320;0.01027734007470016
325;0.008075271670816805
330;0.01166562787375121
335;0.008961160357771326
340;0.008383745756786937
345;0.008091555774022955
350;0.008349257872428182
355;0.007193658672691129
360;0.007928118205886662
365;0.007961791623566474
370;0.008549073215859068
375;0.008031614946911464
380;0.009022539131228052
385;0.008654565680292759
390;0.007764240714320573
395;0.009131849678158306
400;0.00844383201966915
