Gen;Normalized Fitness
5;0.23139617309316415
10;0.06047702222108497
15;0.02407012966890992
20;0.022169491606595083
25;0.02048573395169149
30;0.008619839480730392
35;0.00971969491062839
40;0.009188690814730689
45;0.00785956329621031
50;0.008316127632763503
55;0.010112936422239675
60;0.008134119314234148
65;0.008578431525802038
70;0.008884612525809231
75;0.009456261837063065
80;0.008511610007277884
85;0.008403414944871231
90;0.009420482778997895
95;0.01174178958678218
100;0.014056905669568158
105;0.011991746530679788
110;0.012533913344082357
115;0.009911951720728975
120;0.011121128483789825
125;0.010169477471365257
130;0.009455940579728326
135;0.010751818310210565
140;0.012282290735696985
145;0.012055617074560064
150;0.009710911912227962
155;0.010727677172020743
160;0.016597293335930668
165;0.0108449621439854
170;0.015023179532574557
175;0.01105199061157799
180;0.014039290154689863
185;0.012150108431219374
190;0.012849649691189633
195;0.010280121004348585
200;0.011195128744394154
205;0.011083330045860722
210;0.00914758439704279
215;0.009787701919689884
220;0.00908124454322906
225;0.00947073891812091
230;0.01076078767455728
235;0.009130885273603662
240;0.009551675343901245
245;0.010137208069058698
250;0.008721206582251865
255;0.010296864698855253
260;0.010426897354224992
265;0.009103492883115693
270;0.009461812849470957
275;0.00936374436844658
280;0.008069250851848068
285;0.009118016034961303
290;0.009122025269188355
295;0.009971016486910718
300;0.009731024439202603
305;0.008919516095148785
310;0.009145844626648992
315;0.010028107013346029
320;0.008354336000540485
325;0.008440855357373293
330;0.00952918850869498
335;0.008688740573085645
340;0.0076414983810841955
345;0.007659367423539718
350;0.008697344983223923
355;0.007946047456177819
360;0.008519668482377056
365;0.008658643220093257
370;0.008768957997592365
375;0.00881724906963617
380;0.008839202198282253
385;0.00786414940562011
390;0.008509812984900432
395;0.008744292897386142
400;0.008399614297016841
