Gen;Normalized Fitness
5;0.044835996859129756
10;0.10127879780215387
15;0.13825310106154134
20;0.12822132574467135
25;0.03489148353350266
30;0.175854267150174
35;0.2264190636015494
40;0.05576889858571772
45;0.17821545799159708
50;0.10570070691620272
55;0.08137852448662065
60;0.38873565528007664
65;0.17701250999649817
70;0.02235662947396723
75;0.06899263491559464
80;0.09533584258197678
85;0.19585105101176772
90;0.12472758406696793
95;0.09880476180307703
100;0.057385831212515497
105;0.2437521767365685
110;0.12618293193370278
115;0.1338065277458816
120;0.07483967412205003
125;0.051098401864200484
130;0.07805038296793729
135;0.1084472932959567
140;0.10138168205901749
145;0.2123407316004842
150;0.1531491346451209
155;0.17877029414155532
160;0.13714755992289324
165;0.23151909231682066
170;0.042695483791310815
175;0.4403219140093329
180;0.12313624820592024
185;0.028687628072417336
190;0.24132815526281504
195;0.13206217176978463
200;0.12151856672009913
205;0.16658508175130526
210;0.12262942058765407
215;0.09516526085758932
220;0.12728347274256727
225;0.13000010956257613
230;0.20490781681780318
235;0.11395078753135393
240;0.04010272212174081
245;0.0441203169803879
250;0.06167095772761497
255;0.0871142657779724
260;0.09145587345957942
265;0.06254414252794997
270;0.1227754995452817
275;0.13106974943706656
280;0.0962656450658386
285;0.12031860209726092
290;0.21105334221482924
295;0.19748037936120547
