Gen;Normalized Fitness
5;0.08965668247673114
10;0.12833772640211394
15;0.05089053760592934
20;0.07815165090757953
25;0.21031848364549174
30;0.05131963070037482
35;0.06459756137666782
40;0.10094951539017388
45;0.12310011568113403
50;0.05157032592255225
55;0.09516471322763702
60;0.10282631942542017
65;0.04060747294713616
70;0.08455062669105354
75;0.08288075724046114
80;0.09192723560578309
85;0.09130087332314357
90;0.08379198121761913
95;0.044859190796182474
100;0.06632006080551027
105;0.24172386558833195
110;0.08300817487487704
115;0.26276175742969077
120;0.41732014167435444
125;0.0720181133178504
130;0.03951915671568337
135;0.07587279724689669
140;0.0773432054391937
145;0.07351660324583184
150;0.1832417424839423
155;0.052369274483801395
160;0.09625337497444687
165;0.09688743850079645
170;0.08702939976089966
175;0.09062755897813213
180;0.08617954720593535
185;0.06278051354345092
190;0.13011104576402419
195;0.17127045728090085
200;0.10160836609146608
205;0.11463729518070127
210;0.13905319367004274
215;0.044627186256646564
220;0.06235098344075964
225;0.10646375526770753
230;0.07238304032675885
235;0.06221782112266221
240;0.14027303603665583
245;0.055837176767887554
250;0.10734965573006999
255;0.0636296248197542
260;0.2037825040853783
265;0.08552584758499272
270;0.08669567309790992
275;0.1756361011319483
280;0.11710087381352634
285;0.13599648924720084
290;0.0640313086711572
295;0.07657317430028455
