Gen;Hits ratio
5;9349.0
10;24269.0
15;10007.0
20;9310.0
25;9310.0
30;9310.0
35;9310.0
40;9307.0
45;9307.0
50;10143.0
55;10032.0
60;10033.0
65;10190.0
70;10176.0
75;10175.0
80;10175.0
85;9318.0
90;9318.0
95;9325.0
100;9317.0
105;9440.0
110;9449.0
115;10330.0
120;19884.0
125;16493.0
130;9452.0
135;14236.0
140;9322.0
145;9438.0
150;9325.0
155;9324.0
160;9323.0
165;9321.0
170;9325.0
175;10210.0
180;9314.0
185;9321.0
190;10057.0
195;9323.0
200;9327.0
205;9318.0
210;9375.0
215;9474.0
220;9373.0
225;9321.0
230;9379.0
235;9330.0
240;9331.0
245;9319.0
250;9320.0
255;9321.0
260;9329.0
265;9319.0
270;9322.0
275;9320.0
280;9319.0
285;9653.0
290;9657.0
295;9319.0
300;9317.0
305;9377.0
310;9372.0
315;9370.0
320;9374.0
325;9370.0
330;9372.0
335;9372.0
340;9374.0
345;9374.0
350;9374.0
355;9374.0
360;9376.0
365;9375.0
370;9374.0
375;9383.0
380;9384.0
385;9376.0
390;9374.0
395;9373.0
400;9374.0
