Gen;Hits ratio
5;24499.0
10;24499.0
15;2661.0
20;2661.0
25;2661.0
30;457.0
35;413.0
40;203.0
45;203.0
50;183.0
55;18.0
60;18.0
65;12.0
70;12.0
75;12.0
80;12.0
85;12.0
90;3.0
95;3.0
100;2.0
105;5.0
110;5.0
115;2.0
120;2.0
125;2.0
130;2.0
135;6.0
140;6.0
145;2.0
150;4.0
155;1.0
160;4.0
165;1091.0
170;3.0
175;3.0
180;3.0
185;3.0
190;2.0
195;2.0
200;1.0
205;3.0
210;4.0
215;3.0
220;5.0
225;1.0
230;5.0
235;6.0
240;2.0
245;1.0
250;3.0
255;3.0
260;4.0
265;11.0
270;8.0
275;5.0
280;8.0
285;8.0
290;5.0
295;6.0
300;3.0
305;4.0
310;4.0
315;5.0
320;5.0
325;3.0
330;6.0
335;7.0
340;6.0
345;4.0
350;3.0
355;2.0
360;1.0
365;2.0
370;6.0
375;4.0
380;4.0
385;3.0
390;2.0
395;2.0
400;2.0
