Gen;Hits ratio
5;24114.0
10;24114.0
15;24114.0
20;24114.0
25;10699.0
30;9434.0
35;9434.0
40;14895.0
45;10550.0
50;9620.0
55;9620.0
60;9619.0
65;9620.0
70;9509.0
75;9416.0
80;9600.0
85;9599.0
90;1705.0
95;2129.0
100;1237.0
105;189.0
110;189.0
115;1897.0
120;737.0
125;1925.0
130;1780.0
135;383.0
140;321.0
145;1425.0
150;1425.0
155;1008.0
160;1170.0
165;10990.0
170;133.0
175;2627.0
180;404.0
185;210.0
190;603.0
195;280.0
200;281.0
205;156.0
210;153.0
215;146.0
220;145.0
225;154.0
230;151.0
235;146.0
240;146.0
245;146.0
250;146.0
255;150.0
260;143.0
265;136.0
270;152.0
275;149.0
280;152.0
285;141.0
290;138.0
295;138.0
300;138.0
305;147.0
310;150.0
315;151.0
320;152.0
325;154.0
330;154.0
335;153.0
340;149.0
345;154.0
350;155.0
355;156.0
360;140.0
365;154.0
370;150.0
375;146.0
380;144.0
385;133.0
390;137.0
395;139.0
400;133.0
