Gen;Hits ratio
5;225.0
10;228.0
15;284.0
20;229.0
25;260.0
30;265.0
35;199.0
40;165.0
45;165.0
50;178.0
55;157.0
60;167.0
65;150.0
70;150.0
75;153.0
80;152.0
85;177.0
90;163.0
95;24405.0
100;19183.0
105;14139.0
110;21092.0
115;20365.0
120;20412.0
125;20407.0
130;20407.0
135;20407.0
140;20375.0
145;11293.0
150;20381.0
155;20385.0
160;20385.0
165;20385.0
170;20385.0
175;20391.0
180;20372.0
185;20383.0
190;11244.0
195;10704.0
200;11570.0
205;11244.0
210;11265.0
215;24337.0
220;12189.0
225;12174.0
230;11141.0
235;11141.0
240;11062.0
245;11010.0
250;18892.0
255;16141.0
260;12785.0
265;10702.0
270;10643.0
275;10643.0
280;10650.0
285;10650.0
290;10650.0
295;11095.0
300;11095.0
305;11095.0
310;11095.0
315;11095.0
320;11131.0
325;11091.0
330;11091.0
335;11146.0
340;11146.0
345;11134.0
350;11137.0
355;11134.0
360;11138.0
365;11138.0
370;11134.0
375;11134.0
380;11159.0
385;10703.0
390;10703.0
395;10706.0
400;10706.0
