Gen,Raw Fitness,Adjusted Fitness,Normalized Fitness,Hits ratio,Best MSE,Average MSE
6,150,0.75
0,2592822.3322533686,3.856799603584718E-7,0.7298733277771328,21388.0,2592817.3322533686,5.666832540237894E14
1,2592822.3322533686,3.856799603584718E-7,0.17299353331608594,21388.0,2592817.3322533686,3.733502179041603E14
2,2592822.3322533686,3.856799603584718E-7,0.05393795948955731,21388.0,2592817.3322533686,2.000122493745432E14
3,2592822.3322533686,3.856799603584718E-7,0.041047296324955754,21388.0,2592817.3322533686,2.4667489994746144E14
4,2592462.7063907837,3.8573346177802253E-7,0.0281288727807095,10362.0,2592453.7063907837,2.4000562113996538E14
5,2592462.7063907837,3.8573346177802253E-7,0.02511544245490013,10362.0,2592453.7063907837,2.1512956354098397E14
6,2592462.7063907837,3.8573346177802253E-7,0.024671575833343822,10362.0,2592453.7063907837,2.822953064628472E14
7,2592462.7063907837,3.8573346177802253E-7,0.01991336615614988,10362.0,2592453.7063907837,2.4258371338918153E14
8,2592462.7063907837,3.8573346177802253E-7,0.017518054925696695,10362.0,2592453.7063907837,3.200071989551611E14
9,2592462.7063907837,3.8573346177802253E-7,0.014491272647439116,10362.0,2592453.7063907837,2.733384957691807E14
10,2592462.7063907837,3.8573346177802253E-7,0.01593383415127874,10362.0,2592453.7063907837,2.533423824771249E14
11,2592462.7063907837,3.8573346177802253E-7,0.016220022793859985,10362.0,2592453.7063907837,2.6000663706274053E14
12,2592462.7063907837,3.8573346177802253E-7,0.0163060754702432,10362.0,2592453.7063907837,2.4056704839449184E14
13,2592462.7063907837,3.8573346177802253E-7,0.01596448248574943,10362.0,2592453.7063907837,2.133414353945041E14
14,2538927.2501439154,3.938669790858865E-7,0.019440677147211385,9294.0,2538913.2501439154,2.2001101588539562E14
15,2538927.2501439154,3.938669790858865E-7,0.018767596544258233,9294.0,2538913.2501439154,3.2000561645786944E14
16,2538927.2501439154,3.938669790858865E-7,0.016290504113347225,9294.0,2538913.2501439154,3.000067729786554E14
17,2538927.2501439154,3.938669790858865E-7,0.017968820527785076,9294.0,2538913.2501439154,2.5333974103829034E14
18,2538927.2501439154,3.938669790858865E-7,0.02028231341617085,9294.0,2538913.2501439154,1.6667801655220247E14
19,2538927.2501439154,3.938669790858865E-7,0.020387488592069538,9294.0,2538913.2501439154,2.3448773295130084E14
20,2538927.2501439154,3.938669790858865E-7,0.019155292948101827,9294.0,2538913.2501439154,2.8038753694906972E14
21,2538927.2501439154,3.938669790858865E-7,0.02002004314059171,9294.0,2538913.2501439154,2.4667587508548953E14
22,2538927.2501439154,3.938669790858865E-7,0.0165051502632165,9294.0,2538913.2501439154,2.4000760285070978E14
23,2538927.2501439154,3.938669790858865E-7,0.014286730764778247,9294.0,2538913.2501439154,1.8036010263290528E14
24,2538927.2501439154,3.938669790858865E-7,0.010330212810149852,9294.0,2538913.2501439154,1.6666962197610372E14
25,2532800.1238935483,3.948197869016854E-7,0.011474272990309226,9300.0,2532748.1238935483,2.200311293819763E14
26,2532800.1238935483,3.948197869016854E-7,0.011235480023808388,9300.0,2532748.1238935483,2.1333735146067697E14
27,1230771.0050556422,8.124981685416145E-7,0.023784312739621317,9615.0,1230753.0050556422,1.8000503618236597E14
28,1230771.0050556422,8.124981685416145E-7,0.024992770844838176,9615.0,1230753.0050556422,3.6666959403555525E14
29,1230771.0050556422,8.124981685416145E-7,0.022082506923769046,9615.0,1230753.0050556422,3.1333796720714756E14
30,1229936.50102556,8.130494428913412E-7,0.019375682369504117,9557.0,1229911.50102556,1.733417596023486E14
31,1229936.50102556,8.130494428913412E-7,0.020278406741690732,9557.0,1229911.50102556,2.4000876463762494E14
32,1217068.3904787302,8.216458386211269E-7,0.01819708023425493,9297.0,1217050.3904787302,3.077611147723117E14
33,1217068.3904787302,8.216458386211269E-7,0.016622911799404245,9297.0,1217050.3904787302,2.2667447995833938E14
34,1097264.6912483233,9.113562995506884E-7,0.015934233563469714,9613.0,1097235.6912483233,2.2000285924305206E14
35,1097261.771244495,9.113587248256119E-7,0.015109395268688618,9615.0,1097234.771244495,1.8667101480450294E14
36,1097261.771244495,9.113587248256119E-7,0.017419673029640384,9615.0,1097234.771244495,1.4713920210417784E14
